rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,5.511291452428099e-13,82.16341226363039,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '7d0c09cbeffb453e9ae405d20df8bc64')","treatment of digester sludge, municipal incineration",GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,7d0c09cbeffb453e9ae405d20df8bc64
2,3.667180995715241e-14,5.4671052437910035,"('mtcw_foreground_prospective', 'h2_purification_psa_service_CA__SSP5H_2050_PERF')",H2 purification service (PSA proxy via biogas PSA; CA electricity) [SSP5H_2050_PERF],CA,mtcw_foreground_prospective,h2_purification_psa_service_CA__SSP5H_2050_PERF
3,3.499825760921943e-14,5.217608782399175,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'c3d19f294538442f9232bae3166cbbeb')","treatment of waste rubber, unspecified, municipal incineration",Europe without Switzerland,prospective_conseq_IMAGE_SSP5H_2050_PERF,c3d19f294538442f9232bae3166cbbeb
4,1.5662043643993903e-14,2.3349281378423554,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '3f0cda255b0f43e09a4be2669dc1f53d')","heat production, wood pellet, at furnace 9kW, state-of-the-art 2014",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,3f0cda255b0f43e09a4be2669dc1f53d
5,-1.3713472828681317e-14,-2.0444313847576114,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'adac50a5424b463b8440ccddeeacf8a5')","electricity production, lignite",DE,prospective_conseq_IMAGE_SSP5H_2050_PERF,adac50a5424b463b8440ccddeeacf8a5
6,-1.1861816737463063e-14,-1.7683828685315273,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'c995df411f3f4c6bb42a3d11f23c25d7')","heat and power co-generation, lignite",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,c995df411f3f4c6bb42a3d11f23c25d7
7,1.1401139577818007e-14,1.699704215415334,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'd167aaf1ed59469c9c5eaac94c1a29f7')",anaerobic digestion of manure,RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,d167aaf1ed59469c9c5eaac94c1a29f7
8,1.1069396955565721e-14,1.6502473756295817,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '8e3a5f2e2a4a4e80b8ac799b044ecddc')","heat and power co-generation, natural gas, 200kW electrical, lean burn",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,8e3a5f2e2a4a4e80b8ac799b044ecddc
9,8.94840737641667e-15,1.3340460955798563,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '75b5a674173249d5b02d4df253cd5f77')",clinker production,RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,75b5a674173249d5b02d4df253cd5f77
10,-8.283624847197872e-15,-1.2349390142626475,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '2a06cf45c2294bd7ade3a7335bb5407e')","electricity production, hard coal",GB,prospective_conseq_IMAGE_SSP5H_2050_PERF,2a06cf45c2294bd7ade3a7335bb5407e
11,8.099850728875323e-15,1.2075416088133883,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '052d7b6f4d1a41729f59feda4aa3b9ac')",natural gas venting from petroleum/natural gas production,GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,052d7b6f4d1a41729f59feda4aa3b9ac
12,-7.136302738214805e-15,-1.0638939874241153,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '97b9343d216044b696410f492bb2b1f5')","electricity production, hard coal",DE,prospective_conseq_IMAGE_SSP5H_2050_PERF,97b9343d216044b696410f492bb2b1f5
13,-6.708617923995292e-15,-1.0001338977737477,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'd94d18b28f704bdbb63fb2816512a89f')","electricity production, lignite",PL,prospective_conseq_IMAGE_SSP5H_2050_PERF,d94d18b28f704bdbb63fb2816512a89f
14,6.047381606153678e-15,0.9015554925932893,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'c6c75d7352894cebbb818bf4199532b1')","heat production, wood chips from industry, at furnace 5000kW",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,c6c75d7352894cebbb818bf4199532b1
15,-5.830974349598661e-15,-0.8692930749899933,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '3a8836f187a64395b644c142115d76e4')","heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014, renewable energy products",CH,prospective_conseq_IMAGE_SSP5H_2050_PERF,3a8836f187a64395b644c142115d76e4
16,5.242332633024583e-15,0.7815372151304335,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '75d7a42bf3664f8496cbc4757c6e381b')","heat production, at hard coal industrial furnace 1-10MW",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,75d7a42bf3664f8496cbc4757c6e381b
17,4.907467085996709e-15,0.7316148036034299,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'b39a69aab0a146e5bca1121cf4e730ed')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",IT,prospective_conseq_IMAGE_SSP5H_2050_PERF,b39a69aab0a146e5bca1121cf4e730ed
18,-4.657705843819963e-15,-0.6943799085056512,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '18ee5b5205fa41bf9dd27862ed6f5629')","heat and power co-generation, hard coal",RU,prospective_conseq_IMAGE_SSP5H_2050_PERF,18ee5b5205fa41bf9dd27862ed6f5629
19,-4.581855270990732e-15,-0.6830719565680795,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '6840c58fb5c948cba6013d2298561b02')","electricity production, lignite",CZ,prospective_conseq_IMAGE_SSP5H_2050_PERF,6840c58fb5c948cba6013d2298561b02
20,-4.478588352836039e-15,-0.6676767221792314,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '2366c695741e43269a6118ae457934cf')","heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,2366c695741e43269a6118ae457934cf
