rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,5.516424322465298e-13,-268.9625027238435,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '7d0c09cbeffb453e9ae405d20df8bc64')","treatment of digester sludge, municipal incineration",GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,7d0c09cbeffb453e9ae405d20df8bc64
2,-3.337943372805121e-13,162.74701709293328,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '75d7a42bf3664f8496cbc4757c6e381b')","heat production, at hard coal industrial furnace 1-10MW",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,75d7a42bf3664f8496cbc4757c6e381b
3,-7.00174043305714e-14,34.138157621931605,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '40bd753502954b8f8022ec06b35be386')","hydrogen production, steam methane reforming",WEU,prospective_conseq_IMAGE_SSP5H_2050_PERF,40bd753502954b8f8022ec06b35be386
4,4.8182660962230384e-14,-23.492262963746004,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '91355fd959a9492aa52bf929fec5ea46')","aluminium production, primary, liquid, prebake",CA,prospective_conseq_IMAGE_SSP5H_2050_PERF,91355fd959a9492aa52bf929fec5ea46
5,-4.2966791491382905e-14,20.949178485913304,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '5d78d539e32c43719e1dc5bc9cd82072')","hydrogen production, steam methane reforming",CHN,prospective_conseq_IMAGE_SSP5H_2050_PERF,5d78d539e32c43719e1dc5bc9cd82072
6,-3.9541558914034676e-14,19.279149002026344,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '052d7b6f4d1a41729f59feda4aa3b9ac')",natural gas venting from petroleum/natural gas production,GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,052d7b6f4d1a41729f59feda4aa3b9ac
7,-3.813079536444544e-14,18.59130761625071,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'c995df411f3f4c6bb42a3d11f23c25d7')","heat and power co-generation, lignite",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,c995df411f3f4c6bb42a3d11f23c25d7
8,3.667180995715241e-14,-17.879954856483803,"('mtcw_foreground_prospective', 'h2_purification_psa_service_CA__SSP5H_2050_PERF')",H2 purification service (PSA proxy via biogas PSA; CA electricity) [SSP5H_2050_PERF],CA,mtcw_foreground_prospective,h2_purification_psa_service_CA__SSP5H_2050_PERF
9,3.499737877169984e-14,-17.06355790086145,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'c3d19f294538442f9232bae3166cbbeb')","treatment of waste rubber, unspecified, municipal incineration",Europe without Switzerland,prospective_conseq_IMAGE_SSP5H_2050_PERF,c3d19f294538442f9232bae3166cbbeb
10,-2.835738929301892e-14,13.826119872439655,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '4af5e422213b44189289b6b5eddad88a')","hydrogen production, steam methane reforming",USA,prospective_conseq_IMAGE_SSP5H_2050_PERF,4af5e422213b44189289b6b5eddad88a
