rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,-3.3903667974057203e-13,38.70854045971674,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '75d7a42bf3664f8496cbc4757c6e381b')","heat production, at hard coal industrial furnace 1-10MW",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,75d7a42bf3664f8496cbc4757c6e381b
2,-6.998727940018735e-14,7.990596882911418,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '40bd753502954b8f8022ec06b35be386')","hydrogen production, steam methane reforming",WEU,prospective_conseq_IMAGE_SSP5H_2050_PERF,40bd753502954b8f8022ec06b35be386
3,-4.7641374424238475e-14,5.439317276432332,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '052d7b6f4d1a41729f59feda4aa3b9ac')",natural gas venting from petroleum/natural gas production,GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,052d7b6f4d1a41729f59feda4aa3b9ac
4,4.407604759050261e-14,-5.032256311520271,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '91355fd959a9492aa52bf929fec5ea46')","aluminium production, primary, liquid, prebake",CA,prospective_conseq_IMAGE_SSP5H_2050_PERF,91355fd959a9492aa52bf929fec5ea46
5,-4.295219512740047e-14,4.903943680060958,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '5d78d539e32c43719e1dc5bc9cd82072')","hydrogen production, steam methane reforming",CHN,prospective_conseq_IMAGE_SSP5H_2050_PERF,5d78d539e32c43719e1dc5bc9cd82072
6,-2.920342944193691e-14,3.3342177931328467,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '8832f4cc0889437487717de844346b41')",hard coal mine operation and hard coal preparation,CN,prospective_conseq_IMAGE_SSP5H_2050_PERF,8832f4cc0889437487717de844346b41
7,2.848157256797545e-14,-3.251801855030684,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'adac50a5424b463b8440ccddeeacf8a5')","electricity production, lignite",DE,prospective_conseq_IMAGE_SSP5H_2050_PERF,adac50a5424b463b8440ccddeeacf8a5
8,-2.8364692473550923e-14,3.2384574054937505,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '4af5e422213b44189289b6b5eddad88a')","hydrogen production, steam methane reforming",USA,prospective_conseq_IMAGE_SSP5H_2050_PERF,4af5e422213b44189289b6b5eddad88a
9,-2.6269001734704523e-14,2.9991879263985606,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'c995df411f3f4c6bb42a3d11f23c25d7')","heat and power co-generation, lignite",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,c995df411f3f4c6bb42a3d11f23c25d7
10,-2.3106382439994873e-14,2.638104939679766,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'b39a69aab0a146e5bca1121cf4e730ed')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",IT,prospective_conseq_IMAGE_SSP5H_2050_PERF,b39a69aab0a146e5bca1121cf4e730ed
11,-2.2505609138566515e-14,2.5695133711708604,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'd9d227caff0048f88a7fcc9f6d791542')","heat production, heavy fuel oil, at industrial furnace 1MW",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,d9d227caff0048f88a7fcc9f6d791542
12,-1.990715950658092e-14,2.272842837501126,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '8e3a5f2e2a4a4e80b8ac799b044ecddc')","heat and power co-generation, natural gas, 200kW electrical, lean burn",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,8e3a5f2e2a4a4e80b8ac799b044ecddc
13,1.7203840080922694e-14,-1.9641990959339877,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '2a06cf45c2294bd7ade3a7335bb5407e')","electricity production, hard coal",GB,prospective_conseq_IMAGE_SSP5H_2050_PERF,2a06cf45c2294bd7ade3a7335bb5407e
14,-1.6640586971827793e-14,1.8998912877666105,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '9a2f855639b3402a89e2805dc22c9e70')","transport, freight, sea, bulk carrier for dry goods",GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,9a2f855639b3402a89e2805dc22c9e70
15,-1.6212811859505135e-14,1.8510512912928605,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '793f1061efd94b76b167e55d61c2ac96')","quicklime production, in pieces, loose",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,793f1061efd94b76b167e55d61c2ac96
16,-1.5692632846298363e-14,1.7916613444752556,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'e8a273d859ed4a64949de492cdb39eda')","sweet gas, burned in gas turbine",GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,e8a273d859ed4a64949de492cdb39eda
17,1.4821470252329628e-14,-1.6921988540407873,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '97b9343d216044b696410f492bb2b1f5')","electricity production, hard coal",DE,prospective_conseq_IMAGE_SSP5H_2050_PERF,97b9343d216044b696410f492bb2b1f5
18,1.3707298655900704e-14,-1.5649915077665217,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'c6c75d7352894cebbb818bf4199532b1')","heat production, wood chips from industry, at furnace 5000kW",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,c6c75d7352894cebbb818bf4199532b1
