mode,runner,scenario,bg_db,fg_db,route,case,method,score,solver,tech_shape,n_activities,n_products,error
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.014283878616266038,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",-0.03969602660593496,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",-0.05894178852840069,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",45.85512645543273,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)",54.568084537349584,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)",-74.19545040366523,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)",-0.10953368430512574,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)",-0.0020744857926852183,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)",4.6051258912549464e-05,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)",2.5425606556252514,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP1VLLO_2050,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)",-29.310928313333036,standard,"(107293, 107293)",107293,107293,
