rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,-1.4371923587160667e-18,86.70870945362564,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '27dffb4a42134c5cb8993ba1e11906c3')",airport construction,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,27dffb4a42134c5cb8993ba1e11906c3
2,-3.5634322461927947e-19,21.498904403363458,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'fe0b62aeca244623bc8c88148bc9ad75')",airport construction,RER,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,fe0b62aeca244623bc8c88148bc9ad75
3,1.323015880057542e-19,-7.982021254894931,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '632e0145ae174637a287b1ec2fc94245')","gold mine operation and gold production, unrefined",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,632e0145ae174637a287b1ec2fc94245
4,3.764671575467989e-21,-0.22713021805737754,"('mtcw_foreground_prospective', 'AL_primary_liquid_BASE_CA_SSP1VLLO_2050')","Primary aluminium, liquid (baseline clone) [CA; SSP1VLLO_2050]",CA,mtcw_foreground_prospective,AL_primary_liquid_BASE_CA_SSP1VLLO_2050
5,-2.4831456390563215e-23,0.0014981317736779665,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'c6e7f5cbd13d47228ea9742c885e7eea')","nuclear waste storage construction, final repository for low level radioactive waste",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,c6e7f5cbd13d47228ea9742c885e7eea
6,-9.286992902491705e-25,5.60302985467741e-05,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '120b7be6093d4da2b60da4dff69df65d')","nuclear waste storage construction, final repository for low level radioactive waste",CH,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,120b7be6093d4da2b60da4dff69df65d
7,2.6975599949210327e-25,-1.627492272797017e-05,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'c8bd8c7d016e42cba5bb6474b0f2eb81')","ferrochromium production, high-carbon, 55% Cr",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,c8bd8c7d016e42cba5bb6474b0f2eb81
8,3.49737049025425e-27,-2.1100340525192765e-07,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'd3adb46255a74389b2459797ced5837c')",clinker production,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,d3adb46255a74389b2459797ced5837c
9,8.508097489493696e-28,-5.133106565350009e-08,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'ab4219f9de9a46c88e3663c6439592d1')","copper mine operation and beneficiation, sulfide ore",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,ab4219f9de9a46c88e3663c6439592d1
10,6.769894139399285e-29,-4.084413477465097e-09,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '8e88f9dc8a65442da389080e092e174c')",ground granulated blast furnace slag production,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,8e88f9dc8a65442da389080e092e174c
11,4.9473380378728663e-29,-2.984828675808024e-09,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '5af6bf30b9584963a416eefad605f332')","phosphoric acid production, dihydrate process",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,5af6bf30b9584963a416eefad605f332
12,2.8121804137061585e-29,-1.6966450798629485e-09,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'b8fb366da732475b8ec65fe6450f5833')",phosphate rock beneficiation,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,b8fb366da732475b8ec65fe6450f5833
13,4.4486322396321585e-30,-2.683949423978972e-10,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '0a604da1824b4c29a5dd6daae6a1c033')","transport, freight train, electricity",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,0a604da1824b4c29a5dd6daae6a1c033
14,1.0761834372098057e-30,-6.492831416052952e-11,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'b2851357fd6c41a5ac041a51ec694a09')","transport, freight train, electric",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,b2851357fd6c41a5ac041a51ec694a09
15,-9.037558470123321e-31,5.452541038112299e-11,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '2667c7dec7074fe8bab7391cf026add9')",gold production,AU,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,2667c7dec7074fe8bab7391cf026add9
16,-8.060780594786786e-31,4.8632312739764186e-11,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '1c57f5959bd34ced943f17069e5e6b9d')",gold production,US,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,1c57f5959bd34ced943f17069e5e6b9d
17,-6.657314151941221e-31,4.016491703712315e-11,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '075cc18604e64a8bb32ad143774589ef')",gold-silver mine operation with refinery,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,075cc18604e64a8bb32ad143774589ef
18,-5.209664296592364e-31,3.143095390847379e-11,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'a2d783276945449c89034b6f5f819a02')","platinum group metal, extraction and refinery operations",RU,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,a2d783276945449c89034b6f5f819a02
19,-4.654815342385769e-31,2.8083438423217e-11,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'f8fe0674b4a846df9ae8cb02d91bd48f')",gold-silver mine operation with refinery,CA-QC,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,f8fe0674b4a846df9ae8cb02d91bd48f
20,-1.3519085365585086e-31,8.156336470439482e-12,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '9f3abb35787a4dfda4af14abdc533090')","gold mine operation and gold production, unrefined",ZA,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,9f3abb35787a4dfda4af14abdc533090
