rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,-2.0866999195293357e-19,86.70870945671739,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '27dffb4a42134c5cb8993ba1e11906c3')",airport construction,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,27dffb4a42134c5cb8993ba1e11906c3
2,-5.173847283756516e-20,21.49890440413003,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'fe0b62aeca244623bc8c88148bc9ad75')",airport construction,RER,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,fe0b62aeca244623bc8c88148bc9ad75
3,1.9209238867075335e-20,-7.98202125864654,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '632e0145ae174637a287b1ec2fc94245')","gold mine operation and gold production, unrefined",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,632e0145ae174637a287b1ec2fc94245
4,5.466032315961935e-22,-0.22713021816413045,"('mtcw_foreground_prospective', 'AL_primary_liquid_BASE_CA_SSP1VLLO_2050')","Primary aluminium, liquid (baseline clone) [CA; SSP1VLLO_2050]",CA,mtcw_foreground_prospective,AL_primary_liquid_BASE_CA_SSP1VLLO_2050
5,-3.605348841283482e-24,0.0014981317737313847,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'c6e7f5cbd13d47228ea9742c885e7eea')","nuclear waste storage construction, final repository for low level radioactive waste",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,c6e7f5cbd13d47228ea9742c885e7eea
6,-1.3484045628806124e-25,5.603029854877193e-05,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '120b7be6093d4da2b60da4dff69df65d')","nuclear waste storage construction, final repository for low level radioactive waste",CH,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,120b7be6093d4da2b60da4dff69df65d
7,3.9166630636701753e-26,-1.6274922735619508e-05,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'c8bd8c7d016e42cba5bb6474b0f2eb81')","ferrochromium production, high-carbon, 55% Cr",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,c8bd8c7d016e42cba5bb6474b0f2eb81
8,5.077930368532864e-28,-2.1100340535110086e-07,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'd3adb46255a74389b2459797ced5837c')",clinker production,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,d3adb46255a74389b2459797ced5837c
9,1.23531455248247e-28,-5.133106567762606e-08,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'ab4219f9de9a46c88e3663c6439592d1')","copper mine operation and beneficiation, sulfide ore",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,ab4219f9de9a46c88e3663c6439592d1
10,9.82939929813074e-30,-4.084413479384803e-09,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '8e88f9dc8a65442da389080e092e174c')",ground granulated blast furnace slag production,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,8e88f9dc8a65442da389080e092e174c
