rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,5.435918267686543e-22,97.23301114218962,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '632e0145ae174637a287b1ec2fc94245')","gold mine operation and gold production, unrefined",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,632e0145ae174637a287b1ec2fc94245
2,1.5468028235596557e-23,2.766787298329907,"('mtcw_foreground_prospective', 'AL_primary_liquid_BASE_CA_SSP1VLLO_2050')","Primary aluminium, liquid (baseline clone) [CA; SSP1VLLO_2050]",CA,mtcw_foreground_prospective,AL_primary_liquid_BASE_CA_SSP1VLLO_2050
3,1.1083552265371953e-27,0.00019825301041043837,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'c8bd8c7d016e42cba5bb6474b0f2eb81')","ferrochromium production, high-carbon, 55% Cr",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,c8bd8c7d016e42cba5bb6474b0f2eb81
4,1.4369759594999354e-29,2.570338489297771e-06,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'd3adb46255a74389b2459797ced5837c')",clinker production,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,d3adb46255a74389b2459797ced5837c
5,3.4957496174772494e-30,6.252894998936924e-07,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'ab4219f9de9a46c88e3663c6439592d1')","copper mine operation and beneficiation, sulfide ore",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,ab4219f9de9a46c88e3663c6439592d1
6,2.7815683679448384e-31,4.975429261342576e-08,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '8e88f9dc8a65442da389080e092e174c')",ground granulated blast furnace slag production,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,8e88f9dc8a65442da389080e092e174c
7,2.0327288297753637e-31,3.635969770360706e-08,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '5af6bf30b9584963a416eefad605f332')","phosphoric acid production, dihydrate process",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,5af6bf30b9584963a416eefad605f332
8,1.1554496898549975e-31,2.0667686126878494e-08,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'b8fb366da732475b8ec65fe6450f5833')",phosphate rock beneficiation,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,b8fb366da732475b8ec65fe6450f5833
9,1.8278239605499054e-32,3.269453637273828e-09,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '0a604da1824b4c29a5dd6daae6a1c033')","transport, freight train, electricity",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,0a604da1824b4c29a5dd6daae6a1c033
10,4.421749802005879e-33,7.909244153322957e-10,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'b2851357fd6c41a5ac041a51ec694a09')","transport, freight train, electric",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,b2851357fd6c41a5ac041a51ec694a09
