rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,0.5367094135136073,56.61466615596045,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'b079bc9b17424ef8a9fc1906de17bf97')","treatment of waste rubber, unspecified, municipal incineration",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,b079bc9b17424ef8a9fc1906de17bf97
2,-0.07964333893675468,-8.401158861611908,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'dcb55ad1916d4894b7b3d8aeb458f26d')","heat and power co-generation, lignite",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,dcb55ad1916d4894b7b3d8aeb458f26d
3,0.06882515341738088,7.260005108442148,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'd3adb46255a74389b2459797ced5837c')",clinker production,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,d3adb46255a74389b2459797ced5837c
4,0.05788857056162805,6.1063622401123405,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '567eaaef06c647d19c6d6d43bc710778')","smelting and refining of nickel concentrate, 7% Ni",CN,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,567eaaef06c647d19c6d6d43bc710778
5,0.049480772745208165,5.219467666441225,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '400c8f015ef14308bd45bde1c6942b40')","market group for electricity, medium voltage",RSAF,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,400c8f015ef14308bd45bde1c6942b40
6,0.039035529138978724,4.117653603197917,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'c0ce8bc4b8cd42608ac8acf87c8b5fc5')","nickel mine operation and benefication to nickel concentrate, 7% Ni",CN,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,c0ce8bc4b8cd42608ac8acf87c8b5fc5
7,-0.035916848211676934,-3.7886802796441743,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '3f15e08c50544c5c962cacea39bb0546')",cobalt production,GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,3f15e08c50544c5c962cacea39bb0546
8,0.03352560568447855,3.536440624503787,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '41029deb6fae481fadb3c173537b6440')",natural gas venting from petroleum/natural gas production,GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,41029deb6fae481fadb3c173537b6440
9,0.03212363163516526,3.3885537219030386,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '49c157ed3e3d4884bcb9a61e6982ae93')","heat production, natural gas, at boiler modulating >100kW",CA-QC,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,49c157ed3e3d4884bcb9a61e6982ae93
10,0.032123631544774704,3.3885537123682115,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'b2826940e4b549f2aa2962eaf8b98671')","heat production, natural gas, at boiler condensing modulating >100kW",CA-QC,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,b2826940e4b549f2aa2962eaf8b98671
