rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,0.5362186815954736,3754.0131500757147,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'b079bc9b17424ef8a9fc1906de17bf97')","treatment of waste rubber, unspecified, municipal incineration",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,b079bc9b17424ef8a9fc1906de17bf97
2,-0.08389943261477072,-587.3715036980898,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'dcb55ad1916d4894b7b3d8aeb458f26d')","heat and power co-generation, lignite",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,dcb55ad1916d4894b7b3d8aeb458f26d
3,-0.08331244685199556,-583.2620753100138,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '7855a690cbb24da3a01b089010fa94b6')",pig iron production,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,7855a690cbb24da3a01b089010fa94b6
4,0.034494838359381975,241.49489985234644,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'bf7b4e1d474643c3b3a886f620aec5b3')",sponge iron production,IN,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,bf7b4e1d474643c3b3a886f620aec5b3
5,-0.032944268498076204,-230.6395159404442,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '68fd7ec5c59d4534911a247e06dc5220')","heat and power co-generation, hard coal",RU,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,68fd7ec5c59d4534911a247e06dc5220
6,-0.031591345010594823,-221.1678344467305,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '5d82e47ac91443b1b6bfc70ebeb16c99')",hard coal mine operation and hard coal preparation,CN,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,5d82e47ac91443b1b6bfc70ebeb16c99
7,0.03153176001489275,220.7506858745337,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '49c157ed3e3d4884bcb9a61e6982ae93')","heat production, natural gas, at boiler modulating >100kW",CA-QC,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,49c157ed3e3d4884bcb9a61e6982ae93
8,0.03153175992616762,220.750685253378,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'b2826940e4b549f2aa2962eaf8b98671')","heat production, natural gas, at boiler condensing modulating >100kW",CA-QC,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,b2826940e4b549f2aa2962eaf8b98671
9,0.03141464112337631,219.93074827451048,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '7214c07373b0488e9f7aef0b434a272a')","heat production, natural gas, at industrial furnace low-NOx >100kW",CA-QC,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,7214c07373b0488e9f7aef0b434a272a
10,0.030233970446023693,211.66499140922795,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '066daebe2c354a039012b8b027a18a4e')","heat production, natural gas, at industrial furnace >100kW",CA-QC,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,066daebe2c354a039012b8b027a18a4e
11,-0.02632521147376802,-184.30016230878638,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'a955a3ab68df43dc9db95fdf8f7eb372')","diesel, burned in building machine",GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,a955a3ab68df43dc9db95fdf8f7eb372
12,-0.025627784533836958,-179.41754632844012,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'a74f596a4a784113b7fae8a00ae0e5ee')","heat production, natural gas, at industrial furnace >100kW",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,a74f596a4a784113b7fae8a00ae0e5ee
