scenario,case,bg_db,method_0,method_1,method_2,method,score,solver,tech_shape,n_activities,n_products,error
SSP2M_2050,gateA_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",climate change,global warming potential (GWP100),"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-1.885892658599449e-18,least_squares,"(107022, 107025)",107025,107022,
SSP2M_2050,gateA_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",acidification: terrestrial,terrestrial acidification potential (TAP),"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",1.1886863913067774e-19,least_squares,"(107022, 107025)",107025,107022,
SSP2M_2050,gateA_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",climate change,global warming potential (GWP1000),"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",-1.9876514729607852e-18,least_squares,"(107022, 107025)",107025,107022,
SSP2M_2050,gateA_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",ecotoxicity: freshwater,freshwater ecotoxicity potential (FETP),"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",7.359940276199527e-20,least_squares,"(107022, 107025)",107025,107022,
SSP2M_2050,gateA_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",ecotoxicity: marine,marine ecotoxicity potential (METP),"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)",1.182897206739479e-19,least_squares,"(107022, 107025)",107025,107022,
SSP2M_2050,gateA_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",ecotoxicity: terrestrial,terrestrial ecotoxicity potential (TETP),"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)",9.539935187882446e-17,least_squares,"(107022, 107025)",107025,107022,
SSP2M_2050,gateA_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)","energy resources: non-renewable, fossil",fossil fuel potential (FFP),"ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)",-4.4904393119921235e-37,least_squares,"(107022, 107025)",107025,107022,
SSP2M_2050,gateA_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",eutrophication: freshwater,freshwater eutrophication potential (FEP),"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)",6.536993786665934e-32,least_squares,"(107022, 107025)",107025,107022,
SSP2M_2050,gateA_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",eutrophication: marine,marine eutrophication potential (MEP),"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)",1.2931579081693304e-29,least_squares,"(107022, 107025)",107025,107022,
SSP2M_2050,gateA_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",human toxicity: carcinogenic,human toxicity potential (HTPc),"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)",3.456039106545866e-20,least_squares,"(107022, 107025)",107025,107022,
SSP2M_2050,gateA_only,prospective_conseq_IMAGE_SSP2M_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",human toxicity: non-carcinogenic,human toxicity potential (HTPnc),"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)",9.08990506340843e-18,least_squares,"(107022, 107025)",107025,107022,
