rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,-2.2428245777090213e-19,82.49718382957816,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '0303944c59b14155ad3b0c3838cbe55c')",airport construction,RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,0303944c59b14155ad3b0c3838cbe55c
2,-6.73364888104649e-20,24.76819074949498,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '6c019162355e4fdb873c117fcff9d4e6')",airport construction,RER,prospective_conseq_IMAGE_SSP2M_2050_PERF,6c019162355e4fdb873c117fcff9d4e6
3,1.9209238867075335e-20,-7.065680150795049,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'aaa7f8ccf2dd4b2aace7ab467767a430')","gold mine operation and gold production, unrefined",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,aaa7f8ccf2dd4b2aace7ab467767a430
4,5.466032315961936e-22,-0.20105552492604692,"('mtcw_foreground_prospective', 'AL_primary_liquid_BASE_CA_SSP2M_2050')","Primary aluminium, liquid (baseline clone) [CA; SSP2M_2050]",CA,mtcw_foreground_prospective,AL_primary_liquid_BASE_CA_SSP2M_2050
5,-3.605348841283482e-24,0.0013261452950231942,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'ce7f4e51bf6d433eb5d496ef2edc29fc')","nuclear waste storage construction, final repository for low level radioactive waste",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,ce7f4e51bf6d433eb5d496ef2edc29fc
6,-1.3484045628806127e-25,4.959798470472971e-05,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '0bcc1631f6db413ca7440ff1025cad40')","nuclear waste storage construction, final repository for low level radioactive waste",CH,prospective_conseq_IMAGE_SSP2M_2050_PERF,0bcc1631f6db413ca7440ff1025cad40
7,3.916663063670176e-26,-1.440655127349141e-05,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '6252163b555d46b4b35cbf7edfb33260')","ferrochromium production, high-carbon, 55% Cr",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,6252163b555d46b4b35cbf7edfb33260
8,5.078066200152492e-28,-1.8678507671815702e-07,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '01faf805f6194336a0a632dd9b08f515')",clinker production,RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,01faf805f6194336a0a632dd9b08f515
9,1.2353168275242143e-28,-4.543831043270207e-08,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'e04e3246cb154dd4a2736d490238446a')","copper mine operation and beneficiation, sulfide ore",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,e04e3246cb154dd4a2736d490238446a
10,9.829399298130741e-30,-3.6155202189755133e-09,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '00703dbc22e04652b680c6069271d4a8')",ground granulated blast furnace slag production,RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,00703dbc22e04652b680c6069271d4a8
11,7.183178944271959e-30,-2.6421684501588357e-09,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'b90c93ebb80a4d58ae4fa4443dd35efd')","phosphoric acid production, dihydrate process",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,b90c93ebb80a4d58ae4fa4443dd35efd
12,4.0830836665273316e-30,-1.5018691482912515e-09,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '1d253a4f00854e969a0a674340deea79')",phosphate rock beneficiation,RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,1d253a4f00854e969a0a674340deea79
