rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,6.284291090175777,47.76676727405659,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'c80c8232fbf94c92821ab98bb3342f0b')","electricity production, natural gas, combined cycle power plant",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,c80c8232fbf94c92821ab98bb3342f0b
2,3.5558555855209817,27.027985142073373,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'eadef980a47144eda30049cd4fe76fef')","electricity production, hard coal",TZ,prospective_conseq_IMAGE_SSP2M_2050_PERF,eadef980a47144eda30049cd4fe76fef
3,1.0667193901327248,8.108112136124527,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '4e84d833e11b4f559a1c04fe044915d9')",natural gas venting from petroleum/natural gas production,GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,4e84d833e11b4f559a1c04fe044915d9
4,0.5365404211104376,4.0782327012782815,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '407e3cbb491e46ba9dd24694e92a8462')","treatment of waste rubber, unspecified, municipal incineration",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,407e3cbb491e46ba9dd24694e92a8462
5,0.4632060990475526,3.5208200281679147,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '5593ca8cced94c4b9eb218f044c7ad11')",hard coal mine operation and hard coal preparation,RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,5593ca8cced94c4b9eb218f044c7ad11
6,0.22516159378490544,1.711448641548909,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '22b30b6d1fcb4203b29dfeb55c6874b2')","sweet gas, burned in gas turbine",GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,22b30b6d1fcb4203b29dfeb55c6874b2
7,0.16941419221957957,1.2877137892809796,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '0b4558693b7e42e395a9bd67758c83ec')","treatment of waste natural gas, sweet, burned in production flare",GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,0b4558693b7e42e395a9bd67758c83ec
8,0.1265495510123247,0.9619005334256386,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'b9cde892908e4dcfad3120e7b600505b')","electricity production, hydro, reservoir, non-alpine region",TZ,prospective_conseq_IMAGE_SSP2M_2050_PERF,b9cde892908e4dcfad3120e7b600505b
9,0.10492081514576662,0.7975009571257725,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '7be3a15a30a7413aa4527e049506a6fd')","transport, freight, sea, bulk carrier for dry goods",GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,7be3a15a30a7413aa4527e049506a6fd
10,0.08185612302355771,0.6221867068722085,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '1762ca7fd00d419cb40a0c7c6e9acd67')","transport, pipeline, onshore, long distance, natural gas",RU,prospective_conseq_IMAGE_SSP2M_2050_PERF,1762ca7fd00d419cb40a0c7c6e9acd67
11,0.06669602364053027,0.5069551033882925,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '8effef7a47574b57bada968bb7f2a698')","natural gas, burned in gas turbine",RU,prospective_conseq_IMAGE_SSP2M_2050_PERF,8effef7a47574b57bada968bb7f2a698
12,-0.052193654989341344,-0.39672289766394897,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'af6dca4687cf46728d137c5c4d910aa9')","heat and power co-generation, lignite",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,af6dca4687cf46728d137c5c4d910aa9
13,0.0444178343484045,0.33761904496350914,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '7fc95e2922de4afe90538345f619b592')","market group for electricity, medium voltage",RSAF,prospective_conseq_IMAGE_SSP2M_2050_PERF,7fc95e2922de4afe90538345f619b592
14,0.03939223090451519,0.29941953659076065,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'fa5ab5a33d3e452ca8dae1dc66d62c18')","natural gas, burned in gas turbine",QA,prospective_conseq_IMAGE_SSP2M_2050_PERF,fa5ab5a33d3e452ca8dae1dc66d62c18
15,0.032962218296965926,0.2505451430614398,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '724643aac4e345f78a0ad6b41090a3e4')","diesel, burned in diesel-electric generating set, 10MW, for oil and gas extraction",GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,724643aac4e345f78a0ad6b41090a3e4
16,0.03278798217778827,0.24922077790456398,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'e8343e1692644195b006bb72f1a32c46')","heat production, natural gas, at boiler modulating >100kW",CA-QC,prospective_conseq_IMAGE_SSP2M_2050_PERF,e8343e1692644195b006bb72f1a32c46
17,0.03278798208552835,0.24922077720329824,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '1e3740cc78414f279286cd8658325c31')","heat production, natural gas, at boiler condensing modulating >100kW",CA-QC,prospective_conseq_IMAGE_SSP2M_2050_PERF,1e3740cc78414f279286cd8658325c31
18,0.03266644506530458,0.24829697681326113,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'be1281dd5c9e4d51901c4e9f568e0721')","heat production, natural gas, at industrial furnace low-NOx >100kW",CA-QC,prospective_conseq_IMAGE_SSP2M_2050_PERF,be1281dd5c9e4d51901c4e9f568e0721
19,0.03180026037538785,0.2417131248073786,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'cf05f848a43d43a7b04aaf607bb799d5')",sponge iron production,IN,prospective_conseq_IMAGE_SSP2M_2050_PERF,cf05f848a43d43a7b04aaf607bb799d5
20,0.03143853913745888,0.2389636891204723,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '7e945a8e926b4339a1900003a7446a0c')","heat production, natural gas, at industrial furnace >100kW",CA-QC,prospective_conseq_IMAGE_SSP2M_2050_PERF,7e945a8e926b4339a1900003a7446a0c
