rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,0.5362120778558167,117.07463825315136,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '407e3cbb491e46ba9dd24694e92a8462')","treatment of waste rubber, unspecified, municipal incineration",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,407e3cbb491e46ba9dd24694e92a8462
2,0.258171542292327,56.368256459265574,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'c80c8232fbf94c92821ab98bb3342f0b')","electricity production, natural gas, combined cycle power plant",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,c80c8232fbf94c92821ab98bb3342f0b
3,0.14874926456167742,32.477385456549506,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'eadef980a47144eda30049cd4fe76fef')","electricity production, hard coal",TZ,prospective_conseq_IMAGE_SSP2M_2050_PERF,eadef980a47144eda30049cd4fe76fef
4,-0.08446499166245167,-18.44178591328928,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '5f9a490c464f4285a59b4a7822d832c4')",pig iron production,RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,5f9a490c464f4285a59b4a7822d832c4
5,-0.08239100469561317,-17.988958974263006,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'af6dca4687cf46728d137c5c4d910aa9')","heat and power co-generation, lignite",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,af6dca4687cf46728d137c5c4d910aa9
6,0.03453588373275994,7.540442041018275,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'cf05f848a43d43a7b04aaf607bb799d5')",sponge iron production,IN,prospective_conseq_IMAGE_SSP2M_2050_PERF,cf05f848a43d43a7b04aaf607bb799d5
7,-0.0334168414324218,-7.296114324593191,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '574d05c5c33540188dd1b4ab170cbca6')",hard coal mine operation and hard coal preparation,CN,prospective_conseq_IMAGE_SSP2M_2050_PERF,574d05c5c33540188dd1b4ab170cbca6
8,-0.03235196348682668,-7.0636126607686185,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '6ec84ac4db874ea29910f10b181dbcca')","heat and power co-generation, hard coal",RU,prospective_conseq_IMAGE_SSP2M_2050_PERF,6ec84ac4db874ea29910f10b181dbcca
9,0.0315788336422506,6.894810239833971,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'e8343e1692644195b006bb72f1a32c46')","heat production, natural gas, at boiler modulating >100kW",CA-QC,prospective_conseq_IMAGE_SSP2M_2050_PERF,e8343e1692644195b006bb72f1a32c46
10,0.03157883355339302,6.894810220433123,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '1e3740cc78414f279286cd8658325c31')","heat production, natural gas, at boiler condensing modulating >100kW",CA-QC,prospective_conseq_IMAGE_SSP2M_2050_PERF,1e3740cc78414f279286cd8658325c31
11,0.03146152271839874,6.869196989889996,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'be1281dd5c9e4d51901c4e9f568e0721')","heat production, natural gas, at industrial furnace low-NOx >100kW",CA-QC,prospective_conseq_IMAGE_SSP2M_2050_PERF,be1281dd5c9e4d51901c4e9f568e0721
12,0.030808180514466516,6.726548576436225,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '4e84d833e11b4f559a1c04fe044915d9')",natural gas venting from petroleum/natural gas production,GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,4e84d833e11b4f559a1c04fe044915d9
13,0.030279092483901825,6.611029377334765,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '7e945a8e926b4339a1900003a7446a0c')","heat production, natural gas, at industrial furnace >100kW",CA-QC,prospective_conseq_IMAGE_SSP2M_2050_PERF,7e945a8e926b4339a1900003a7446a0c
14,-0.028555393379985684,-6.234683044638905,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '2365eed887024ecca43f09d76239ff16')","diesel, burned in building machine",GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,2365eed887024ecca43f09d76239ff16
15,-0.027056808163533938,-5.9074872776036385,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '73a8145c8a6d4175aa445a254c64031c')","heat production, natural gas, at industrial furnace >100kW",RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,73a8145c8a6d4175aa445a254c64031c
16,-0.025921693080863048,-5.659650287040504,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '3398c64b08cf4e9897908f392d8f8c2a')",iron sinter production,RoW,prospective_conseq_IMAGE_SSP2M_2050_PERF,3398c64b08cf4e9897908f392d8f8c2a
