mode,runner,scenario,bg_db,fg_db,route,case,method,score,solver,tech_shape,n_activities,n_products,error
prospect,msfsc,SSP5H_2050,prospective_conseq_IMAGE_SSP5H_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.34044499697658226,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP5H_2050,prospective_conseq_IMAGE_SSP5H_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",-0.040333940442068644,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP5H_2050,prospective_conseq_IMAGE_SSP5H_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",0.26982104915494753,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP5H_2050,prospective_conseq_IMAGE_SSP5H_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",45.8236697986506,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP5H_2050,prospective_conseq_IMAGE_SSP5H_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)",54.5287087704467,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP5H_2050,prospective_conseq_IMAGE_SSP5H_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)",-76.15697304884273,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP5H_2050,prospective_conseq_IMAGE_SSP5H_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)",0.0264037539239729,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP5H_2050,prospective_conseq_IMAGE_SSP5H_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)",-0.0021442400558366564,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP5H_2050,prospective_conseq_IMAGE_SSP5H_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)",5.026071581241329e-05,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP5H_2050,prospective_conseq_IMAGE_SSP5H_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)",2.5133456845051945,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP5H_2050,prospective_conseq_IMAGE_SSP5H_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)",-29.610574046539885,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP5H_2050,prospective_conseq_IMAGE_SSP5H_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)",-0.008069551965651709,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP5H_2050,prospective_conseq_IMAGE_SSP5H_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)",-0.27101293210534605,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP5H_2050,prospective_conseq_IMAGE_SSP5H_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)",0.13004678874546452,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP5H_2050,prospective_conseq_IMAGE_SSP5H_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)",-1.0199988371784858e-06,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP5H_2050,prospective_conseq_IMAGE_SSP5H_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)",-0.01039422086455577,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP5H_2050,prospective_conseq_IMAGE_SSP5H_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)",-0.008273406822123288,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP5H_2050,prospective_conseq_IMAGE_SSP5H_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)",-0.00844767283984645,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP5H_2050,prospective_conseq_IMAGE_SSP5H_2050_PERF,mtcw_foreground_prospective,msfsc,gateA_only,"ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)",0.005165271899362923,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP5H_2050,prospective_conseq_IMAGE_SSP5H_2050_PERF,mtcw_foreground_prospective,msfsc,degrease_only,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.014688046977204407,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP5H_2050,prospective_conseq_IMAGE_SSP5H_2050_PERF,mtcw_foreground_prospective,msfsc,degrease_only,"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",6.485302226711442e-05,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP5H_2050,prospective_conseq_IMAGE_SSP5H_2050_PERF,mtcw_foreground_prospective,msfsc,degrease_only,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",0.021928923596746863,standard,"(107293, 107293)",107293,107293,
prospect,msfsc,SSP5H_2050,prospective_conseq_IMAGE_SSP5H_2050_PERF,mtcw_foreground_prospective,msfsc,degrease_only,"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",0.001688780261228328,standard,"(107293, 107293)",107293,107293,
