rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,-1.5716037698286208e-18,81.63670616947773,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '64a293b58a154680bb4d3d44b652e6d5')",airport construction,RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,64a293b58a154680bb4d3d44b652e6d5
2,-4.895560386193434e-19,25.429910035542225,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '714b776d17074ee6b0375b89211320e6')",airport construction,RER,prospective_conseq_IMAGE_SSP5H_2050_PERF,714b776d17074ee6b0375b89211320e6
3,1.3230158800575426e-19,-6.872384804064732,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'ea6676d65cca4be4a05e0cc80a785ed4')","gold mine operation and gold production, unrefined",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,ea6676d65cca4be4a05e0cc80a785ed4
4,3.7646715754679915e-21,-0.1955552621667352,"('mtcw_foreground_prospective', 'AL_primary_liquid_BASE_CA_SSP5H_2050')","Primary aluminium, liquid (baseline clone) [CA; SSP5H_2050]",CA,mtcw_foreground_prospective,AL_primary_liquid_BASE_CA_SSP5H_2050
5,-2.483145639056323e-23,0.0012898660260516346,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '07fa96e5eecb4397bba14aab98ba0112')","nuclear waste storage construction, final repository for low level radioactive waste",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,07fa96e5eecb4397bba14aab98ba0112
6,-9.286992902491709e-25,4.824113592330058e-05,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'bf6704e386f447e980e36ee93b4c1890')","nuclear waste storage construction, final repository for low level radioactive waste",CH,prospective_conseq_IMAGE_SSP5H_2050_PERF,bf6704e386f447e980e36ee93b4c1890
7,2.697559994921035e-25,-1.4012432198729124e-05,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '4ce159f416ce41299417dd1f4a8a9e45')","ferrochromium production, high-carbon, 55% Cr",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,4ce159f416ce41299417dd1f4a8a9e45
8,3.497487495412135e-27,-1.8167642791129133e-07,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '75b5a674173249d5b02d4df253cd5f77')",clinker production,RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,75b5a674173249d5b02d4df253cd5f77
9,8.508117220962843e-28,-4.4195278667406014e-08,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '6e15fb4221f9483092669df77db2b2c3')","copper mine operation and beneficiation, sulfide ore",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,6e15fb4221f9483092669df77db2b2c3
10,6.769894139399289e-29,-3.5166106703655756e-09,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '1d1ad52bcb6a4093a096bed72979ae5f')",ground granulated blast furnace slag production,RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,1d1ad52bcb6a4093a096bed72979ae5f
11,4.947338037872869e-29,-2.5698868218097397e-09,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'e111e03c022e451ea5cea8096db3c98a')","phosphoric acid production, dihydrate process",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,e111e03c022e451ea5cea8096db3c98a
12,2.8121804137061596e-29,-1.4607826128740126e-09,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '175970975c254541b848b450eb32bed1')",phosphate rock beneficiation,RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,175970975c254541b848b450eb32bed1
13,4.93441907094163e-30,-2.563176085123903e-10,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '2e9467308fca4a87af56877de0ac2033')","transport, freight train, electricity",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,2e9467308fca4a87af56877de0ac2033
14,1.1921381712645122e-30,-6.192542641428777e-11,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '08aeab7b12f24c869b65ccc5af9ad4cb')","transport, freight train, electric",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,08aeab7b12f24c869b65ccc5af9ad4cb
15,-9.037558470123327e-31,4.6945452758451166e-11,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '11735eaeb99b40dc90e604d02ce432bc')",gold production,AU,prospective_conseq_IMAGE_SSP5H_2050_PERF,11735eaeb99b40dc90e604d02ce432bc
