rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,5.435918267686543e-22,97.23301114167461,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'ea6676d65cca4be4a05e0cc80a785ed4')","gold mine operation and gold production, unrefined",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,ea6676d65cca4be4a05e0cc80a785ed4
2,1.5468028235596557e-23,2.766787298315252,"('mtcw_foreground_prospective', 'AL_primary_liquid_BASE_CA_SSP5H_2050')","Primary aluminium, liquid (baseline clone) [CA; SSP5H_2050]",CA,mtcw_foreground_prospective,AL_primary_liquid_BASE_CA_SSP5H_2050
3,1.1083552265371953e-27,0.00019825301040938826,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '4ce159f416ce41299417dd1f4a8a9e45')","ferrochromium production, high-carbon, 55% Cr",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,4ce159f416ce41299417dd1f4a8a9e45
4,1.437024033788743e-29,2.5704244804199516e-06,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '75b5a674173249d5b02d4df253cd5f77')",clinker production,RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,75b5a674173249d5b02d4df253cd5f77
5,3.495757724609989e-30,6.252909500242662e-07,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '6e15fb4221f9483092669df77db2b2c3')","copper mine operation and beneficiation, sulfide ore",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,6e15fb4221f9483092669df77db2b2c3
6,2.7815683679448384e-31,4.975429261316222e-08,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '1d1ad52bcb6a4093a096bed72979ae5f')",ground granulated blast furnace slag production,RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,1d1ad52bcb6a4093a096bed72979ae5f
7,2.0327288297753637e-31,3.635969770341447e-08,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'e111e03c022e451ea5cea8096db3c98a')","phosphoric acid production, dihydrate process",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,e111e03c022e451ea5cea8096db3c98a
8,1.1554496898549975e-31,2.066768612676902e-08,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '175970975c254541b848b450eb32bed1')",phosphate rock beneficiation,RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,175970975c254541b848b450eb32bed1
9,2.0274207719196136e-32,3.626475174889252e-09,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '2e9467308fca4a87af56877de0ac2033')","transport, freight train, electricity",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,2e9467308fca4a87af56877de0ac2033
10,4.898176779619811e-33,8.761435583345463e-10,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '08aeab7b12f24c869b65ccc5af9ad4cb')","transport, freight train, electric",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,08aeab7b12f24c869b65ccc5af9ad4cb
11,0.0,0.0,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'c9aa4201114c444d9979a36186a759e0')","electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted",CN-HN,prospective_conseq_IMAGE_SSP2M_2050_PERF,c9aa4201114c444d9979a36186a759e0
12,0.0,0.0,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '5e02b777427b4045822a15c66ae5d877')","electricity production, natural gas, combined cycle power plant",MX,prospective_conseq_IMAGE_SSP2M_2050_PERF,5e02b777427b4045822a15c66ae5d877
13,0.0,0.0,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '59f724dcf2034347a73904647ec2649d')","market for maintenance, intermodal shipping container, 40-foot, high-cube",GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,59f724dcf2034347a73904647ec2649d
14,0.0,0.0,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'fe4712648b1e44bd812c8978027605a3')",market for synthetic gas factory,GLO,prospective_conseq_IMAGE_SSP2M_2050_PERF,fe4712648b1e44bd812c8978027605a3
15,0.0,0.0,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '923f85ae848f4b489fc527cfdecfeea7')","electricity production, hydro, pumped storage",AT,prospective_conseq_IMAGE_SSP2M_2050_PERF,923f85ae848f4b489fc527cfdecfeea7
16,0.0,0.0,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'c49c99b95a61495aac8a656aafcf8522')","clear-cutting, primary forest to arable land, annual crop",BR-MT,prospective_conseq_IMAGE_SSP2M_2050_PERF,c49c99b95a61495aac8a656aafcf8522
17,0.0,0.0,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '962ee59a438940bc9a5d42d4957f6480')","hard coal preparation, crushing and destoning",ZA,prospective_conseq_IMAGE_SSP2M_2050_PERF,962ee59a438940bc9a5d42d4957f6480
18,0.0,0.0,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '9d8a02e32a6a4e859f6ce054971b534a')","electricity production, hydro, reservoir, non-alpine region",IN-AP,prospective_conseq_IMAGE_SSP2M_2050_PERF,9d8a02e32a6a4e859f6ce054971b534a
19,0.0,0.0,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '08a50c742f3247738e3ede00f7ea7393')","electricity production, hydro, run-of-river",US-TRE,prospective_conseq_IMAGE_SSP2M_2050_PERF,08a50c742f3247738e3ede00f7ea7393
20,0.0,0.0,"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'c6e67d9de96943d59ddecbcd2ba26fa8')",market for waste polyvinylchloride,RO,prospective_conseq_IMAGE_SSP2M_2050_PERF,c6e67d9de96943d59ddecbcd2ba26fa8
