rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,-9.798375795717434e-20,81.63670617180124,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '64a293b58a154680bb4d3d44b652e6d5')",airport construction,RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,64a293b58a154680bb4d3d44b652e6d5
2,-3.052203189852468e-20,25.42991003626598,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '714b776d17074ee6b0375b89211320e6')",airport construction,RER,prospective_conseq_IMAGE_SSP5H_2050_PERF,714b776d17074ee6b0375b89211320e6
3,8.248521052567444e-21,-6.872384807027706,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'ea6676d65cca4be4a05e0cc80a785ed4')","gold mine operation and gold production, unrefined",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,ea6676d65cca4be4a05e0cc80a785ed4
4,2.3471353000615063e-22,-0.1955552622510473,"('mtcw_foreground_prospective', 'AL_primary_liquid_BASE_CA_SSP5H_2050')","Primary aluminium, liquid (baseline clone) [CA; SSP5H_2050]",CA,mtcw_foreground_prospective,AL_primary_liquid_BASE_CA_SSP5H_2050
5,-1.5481506594772276e-24,0.0012898660260883452,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '07fa96e5eecb4397bba14aab98ba0112')","nuclear waste storage construction, final repository for low level radioactive waste",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,07fa96e5eecb4397bba14aab98ba0112
6,-5.790101055859477e-26,4.824113592467356e-05,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'bf6704e386f447e980e36ee93b4c1890')","nuclear waste storage construction, final repository for low level radioactive waste",CH,prospective_conseq_IMAGE_SSP5H_2050_PERF,bf6704e386f447e980e36ee93b4c1890
7,1.6818301839054353e-26,-1.401243220477047e-05,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '4ce159f416ce41299417dd1f4a8a9e45')","ferrochromium production, high-carbon, 55% Cr",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,4ce159f416ce41299417dd1f4a8a9e45
8,2.1805557795529733e-28,-1.8167642798961967e-07,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '75b5a674173249d5b02d4df253cd5f77')",clinker production,RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,75b5a674173249d5b02d4df253cd5f77
9,5.304500503181511e-29,-4.4195278686460464e-08,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '6e15fb4221f9483092669df77db2b2c3')","copper mine operation and beneficiation, sulfide ore",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,6e15fb4221f9483092669df77db2b2c3
10,4.220781864693812e-30,-3.5166106718817344e-09,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '1d1ad52bcb6a4093a096bed72979ae5f')",ground granulated blast furnace slag production,RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,1d1ad52bcb6a4093a096bed72979ae5f
11,3.0844846667892738e-30,-2.5698868229177258e-09,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'e111e03c022e451ea5cea8096db3c98a')","phosphoric acid production, dihydrate process",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,e111e03c022e451ea5cea8096db3c98a
12,1.7532918308632993e-30,-1.4607826135038172e-09,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '175970975c254541b848b450eb32bed1')",phosphate rock beneficiation,RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,175970975c254541b848b450eb32bed1
13,3.0764301625073516e-31,-2.5631760862289964e-10,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '2e9467308fca4a87af56877de0ac2033')","transport, freight train, electricity",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,2e9467308fca4a87af56877de0ac2033
14,7.432546314422842e-32,-6.192542644098642e-11,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '08aeab7b12f24c869b65ccc5af9ad4cb')","transport, freight train, electric",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,08aeab7b12f24c869b65ccc5af9ad4cb
15,-5.634587792805686e-32,4.6945452759787276e-11,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '11735eaeb99b40dc90e604d02ce432bc')",gold production,AU,prospective_conseq_IMAGE_SSP5H_2050_PERF,11735eaeb99b40dc90e604d02ce432bc
16,-5.025602444511854e-32,4.187159572693855e-11,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'd1bdf5f922f2478c9b35d8161e54bf8d')",gold production,US,prospective_conseq_IMAGE_SSP5H_2050_PERF,d1bdf5f922f2478c9b35d8161e54bf8d
17,-4.150592350512195e-32,3.458131176248482e-11,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '1c127f98b1364d838b779bd20d7bc4f4')",gold-silver mine operation with refinery,RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,1c127f98b1364d838b779bd20d7bc4f4
18,-3.2480355117187315e-32,2.7061517769266504e-11,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '7ae922b7a27e4aa587fa79ca0c50fd09')","platinum group metal, extraction and refinery operations",RU,prospective_conseq_IMAGE_SSP5H_2050_PERF,7ae922b7a27e4aa587fa79ca0c50fd09
19,-3.225430743397891e-32,2.68731825933186e-11,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '696b35d33136412b8e0c96313654743d')",gold-silver mine operation with refinery,CA-QC,prospective_conseq_IMAGE_SSP5H_2050_PERF,696b35d33136412b8e0c96313654743d
