rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,-8.530381310324293,36.36162048114854,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '75d7a42bf3664f8496cbc4757c6e381b')","heat production, at hard coal industrial furnace 1-10MW",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,75d7a42bf3664f8496cbc4757c6e381b
2,-5.312235183046844,22.643944344993265,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'eee326cac2824d19beaf4b42a0e7fee6')","electricity production, natural gas, combined cycle power plant",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,eee326cac2824d19beaf4b42a0e7fee6
3,-1.3361836487188194,5.695619100757756,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '052d7b6f4d1a41729f59feda4aa3b9ac')",natural gas venting from petroleum/natural gas production,GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,052d7b6f4d1a41729f59feda4aa3b9ac
4,-0.928981282678643,3.9598774786267126,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '8832f4cc0889437487717de844346b41')",hard coal mine operation and hard coal preparation,CN,prospective_conseq_IMAGE_SSP5H_2050_PERF,8832f4cc0889437487717de844346b41
5,-0.769528186046283,3.2801923891369245,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '8e3a5f2e2a4a4e80b8ac799b044ecddc')","heat and power co-generation, natural gas, 200kW electrical, lean burn",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,8e3a5f2e2a4a4e80b8ac799b044ecddc
6,-0.5700172054133708,2.4297564829699185,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '13ee174ce9254597ae31bb3830d9f393')","transport, freight, sea, container ship",GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,13ee174ce9254597ae31bb3830d9f393
7,-0.5691900208493681,2.4262305243884743,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'd9d227caff0048f88a7fcc9f6d791542')","heat production, heavy fuel oil, at industrial furnace 1MW",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,d9d227caff0048f88a7fcc9f6d791542
8,0.5358652236942032,-2.2841801772016734,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '6caad482ae3d4d12b8d902e7edf906a9')","treatment of waste rubber, unspecified, municipal incineration",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,6caad482ae3d4d12b8d902e7edf906a9
9,-0.47963598082580383,2.0444972937825567,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'c995df411f3f4c6bb42a3d11f23c25d7')","heat and power co-generation, lignite",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,c995df411f3f4c6bb42a3d11f23c25d7
10,-0.325159295839243,1.3860246665543934,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'e8a273d859ed4a64949de492cdb39eda')","sweet gas, burned in gas turbine",GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,e8a273d859ed4a64949de492cdb39eda
11,-0.28717502977454573,1.2241128578492106,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '9a2f855639b3402a89e2805dc22c9e70')","transport, freight, sea, bulk carrier for dry goods",GLO,prospective_conseq_IMAGE_SSP5H_2050_PERF,9a2f855639b3402a89e2805dc22c9e70
12,-0.2865149001066237,1.2212989878028302,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '964a0a8e043e4b9b8b25bf00390dd2cb')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",RU,prospective_conseq_IMAGE_SSP5H_2050_PERF,964a0a8e043e4b9b8b25bf00390dd2cb
13,-0.2731788288164135,1.164452623575563,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'cb8c84ed080747ff9e2b20d550d57032')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,cb8c84ed080747ff9e2b20d550d57032
14,-0.2540007449798952,1.0827040849521923,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '793f1061efd94b76b167e55d61c2ac96')","quicklime production, in pieces, loose",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,793f1061efd94b76b167e55d61c2ac96
15,-0.21009220604440884,0.8955394588267989,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '68edc8bb86e44892a9ab27ef514915f8')","heat production, light fuel oil, at industrial furnace 1MW",RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,68edc8bb86e44892a9ab27ef514915f8
16,-0.20849869366314072,0.8887469497546013,"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'bead95c026f6447292e9a9b2ca27e337')",pig iron production,RoW,prospective_conseq_IMAGE_SSP5H_2050_PERF,bead95c026f6447292e9a9b2ca27e337
