system,route,scenario,method_primary,c3c4,stageD,net,joint,joint_delta_net_minus_joint,source_long_csv
base_routes,landfill,SSP1VLLO_2050,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.0764122984083594,0.0,0.0764122984083594,,,C:\brightway_workspace\results\1_prospect\al_base_routes\SSP1VLLO_2050\recipe2016_midpointH_impacts_long_SSP1VLLO_2050_external_stageD_20260216-161026.csv
base_routes,landfill,SSP2M_2050,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.0810535908065874,0.0,0.0810535908065874,,,C:\brightway_workspace\results\1_prospect\al_base_routes\SSP2M_2050\recipe2016_midpointH_impacts_long_SSP2M_2050_external_stageD_20260216-161042.csv
base_routes,landfill,SSP5H_2050,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.0773191227425181,0.0,0.0773191227425181,,,C:\brightway_workspace\results\1_prospect\al_base_routes\SSP5H_2050\recipe2016_midpointH_impacts_long_SSP5H_2050_external_stageD_20260216-161105.csv
base_routes,landfill,contemp,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.0947423163563259,0.0,0.0947423163563259,,,C:\brightway_workspace\results\0_contemp\al_base_routes\recipe2016_midpointH_impacts_long_contemp_external_stageD_20260211-154657.csv
base_routes,recycling_postcons,SSP1VLLO_2050,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",2.977230500283015,-29.463909298422248,-26.486678798139234,-26.486678798139245,1.0658141036401503e-14,C:\brightway_workspace\results\1_prospect\al_base_routes\SSP1VLLO_2050\recipe2016_midpointH_impacts_long_SSP1VLLO_2050_external_stageD_20260216-161026.csv
base_routes,recycling_postcons,SSP2M_2050,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",2.7019914992130456,-29.31026991994606,-26.608278420733015,-26.60827842073301,-3.552713678800501e-15,C:\brightway_workspace\results\1_prospect\al_base_routes\SSP2M_2050\recipe2016_midpointH_impacts_long_SSP2M_2050_external_stageD_20260216-161042.csv
base_routes,recycling_postcons,SSP5H_2050,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",2.944425581149856,-28.431647675844413,-25.48722209469456,-25.48722209469452,-3.907985046680551e-14,C:\brightway_workspace\results\1_prospect\al_base_routes\SSP5H_2050\recipe2016_midpointH_impacts_long_SSP5H_2050_external_stageD_20260216-161105.csv
base_routes,recycling_postcons,contemp,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",2.1077354783481272,-31.729473318916877,-29.62173784056875,-29.621737840568763,1.4210854715202004e-14,C:\brightway_workspace\results\0_contemp\al_base_routes\recipe2016_midpointH_impacts_long_contemp_external_stageD_20260211-154657.csv
base_routes,reuse,SSP1VLLO_2050,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.0066635655989341,-32.69505713259644,-32.688393566997505,-32.688393566997554,4.973799150320701e-14,C:\brightway_workspace\results\1_prospect\al_base_routes\SSP1VLLO_2050\recipe2016_midpointH_impacts_long_SSP1VLLO_2050_external_stageD_20260216-161026.csv
base_routes,reuse,SSP2M_2050,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.0075838652905796,-32.77999092186354,-32.772407056572966,-32.77240705657299,2.1316282072803006e-14,C:\brightway_workspace\results\1_prospect\al_base_routes\SSP2M_2050\recipe2016_midpointH_impacts_long_SSP2M_2050_external_stageD_20260216-161042.csv
base_routes,reuse,SSP5H_2050,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.007076858307337,-31.91407560724523,-31.906998748937895,-31.9069987489379,7.105427357601002e-15,C:\brightway_workspace\results\1_prospect\al_base_routes\SSP5H_2050\recipe2016_midpointH_impacts_long_SSP5H_2050_external_stageD_20260216-161105.csv
base_routes,reuse,contemp,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.010874582732427,-35.195159146317444,-35.18428456358502,-35.18428456358501,-7.105427357601002e-15,C:\brightway_workspace\results\0_contemp\al_base_routes\recipe2016_midpointH_impacts_long_contemp_external_stageD_20260211-154657.csv
hydrolysis,,SSP1VLLO_2050,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.9458397898408508,-3.635129510144938,-2.689289720304087,-2.6892897203040853,-1.7763568394002505e-15,C:\brightway_workspace\results\1_prospect\hydrolysis\SSP1VLLO_2050\recipe2016_midpointH_impacts_long_SSP1VLLO_2050_20260215-191831.csv
