method,method_id,impact_category,indicator,scenario,route,c3c4,stageD,net,sign_mismatch_vs_GWP,rank_in_method,rank_in_GWP,rank_delta_vs_GWP
"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",acidification_terrestrial__terrestrial_acidification_potential___d8990d21,acidification: terrestrial,terrestrial acidification potential (TAP),SSP1VLLO_2050,landfill,0.0002330175835989,0.0,0.0002330175835989,False,5.0,5.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",acidification_terrestrial__terrestrial_acidification_potential___d8990d21,acidification: terrestrial,terrestrial acidification potential (TAP),SSP2M_2050,landfill,0.0002415951086242,0.0,0.0002415951086242,False,5.0,5.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",acidification_terrestrial__terrestrial_acidification_potential___d8990d21,acidification: terrestrial,terrestrial acidification potential (TAP),SSP5H_2050,landfill,0.0002413514513171,0.0,0.0002413514513171,False,5.0,5.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",acidification_terrestrial__terrestrial_acidification_potential___d8990d21,acidification: terrestrial,terrestrial acidification potential (TAP),contemp,landfill,0.0002775451340283,0.0,0.0002775451340283,False,4.0,4.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",acidification_terrestrial__terrestrial_acidification_potential___d8990d21,acidification: terrestrial,terrestrial acidification potential (TAP),SSP1VLLO_2050,recycling_postcons,0.0028790586607769,-0.1860706647280383,-0.1831916060672614,False,3.0,2.0,1.0
"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",acidification_terrestrial__terrestrial_acidification_potential___d8990d21,acidification: terrestrial,terrestrial acidification potential (TAP),SSP2M_2050,recycling_postcons,0.0022730754611482,-0.1857848951160103,-0.1835118196548621,False,3.0,2.0,1.0
"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",acidification_terrestrial__terrestrial_acidification_potential___d8990d21,acidification: terrestrial,terrestrial acidification potential (TAP),SSP5H_2050,recycling_postcons,0.0051517401428348,-0.1880635872766185,-0.18291184713378372,False,3.0,2.0,1.0
"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",acidification_terrestrial__terrestrial_acidification_potential___d8990d21,acidification: terrestrial,terrestrial acidification potential (TAP),contemp,recycling_postcons,0.0046963431449398,-0.2015880337718361,-0.1968916906268963,False,3.0,2.0,1.0
"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",acidification_terrestrial__terrestrial_acidification_potential___d8990d21,acidification: terrestrial,terrestrial acidification potential (TAP),SSP1VLLO_2050,reuse,2.391861406743153e-05,-0.1892980476306225,-0.18927412901655508,False,2.0,1.0,1.0
"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",acidification_terrestrial__terrestrial_acidification_potential___d8990d21,acidification: terrestrial,terrestrial acidification potential (TAP),SSP2M_2050,reuse,2.965171059180556e-05,-0.1900562701222415,-0.1900266184116497,False,2.0,1.0,1.0
"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",acidification_terrestrial__terrestrial_acidification_potential___d8990d21,acidification: terrestrial,terrestrial acidification potential (TAP),SSP5H_2050,reuse,2.8641407743964337e-05,-0.1940817512509019,-0.19405310984315793,False,2.0,1.0,1.0
"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",acidification_terrestrial__terrestrial_acidification_potential___d8990d21,acidification: terrestrial,terrestrial acidification potential (TAP),contemp,reuse,3.246511632941365e-05,-0.2011311935421135,-0.2010987284257841,False,2.0,1.0,1.0
"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",acidification_terrestrial__terrestrial_acidification_potential___d8990d21,acidification: terrestrial,terrestrial acidification potential (TAP),SSP1VLLO_2050,hydrolysis,-0.0315804428715103,-0.0258774243793459,-0.05745786725085621,False,4.0,4.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",acidification_terrestrial__terrestrial_acidification_potential___d8990d21,acidification: terrestrial,terrestrial acidification potential (TAP),SSP2M_2050,hydrolysis,-0.031543664021722,-0.0270922327651541,-0.0586358967868761,False,4.0,4.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",acidification_terrestrial__terrestrial_acidification_potential___d8990d21,acidification: terrestrial,terrestrial acidification potential (TAP),SSP5H_2050,hydrolysis,-0.0284624260396307,-0.0257736095506995,-0.0542360355903302,False,4.0,4.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",acidification_terrestrial__terrestrial_acidification_potential___d8990d21,acidification: terrestrial,terrestrial acidification potential (TAP),contemp,hydrolysis,0.1960876563043781,-0.0455864820688742,0.1505011742355039,False,5.0,5.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",acidification_terrestrial__terrestrial_acidification_potential___d8990d21,acidification: terrestrial,terrestrial acidification potential (TAP),SSP1VLLO_2050,msfsc,-0.0239989465695473,-0.2155783499116301,-0.2395772964811774,False,1.0,3.0,-2.0
"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",acidification_terrestrial__terrestrial_acidification_potential___d8990d21,acidification: terrestrial,terrestrial acidification potential (TAP),SSP2M_2050,msfsc,-0.0068132882161863,-0.2271529398317298,-0.23396622804791609,False,1.0,3.0,-2.0
"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",acidification_terrestrial__terrestrial_acidification_potential___d8990d21,acidification: terrestrial,terrestrial acidification potential (TAP),SSP5H_2050,msfsc,-0.0344879420189173,-0.2109374456012819,-0.2454253876201992,False,1.0,3.0,-2.0
"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",acidification_terrestrial__terrestrial_acidification_potential___d8990d21,acidification: terrestrial,terrestrial acidification potential (TAP),contemp,msfsc,-0.0380849343474734,-0.1939481907327729,-0.2320331250802463,False,1.0,3.0,-2.0
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",climate_change__global_warming_potential_GWP100__60429ccf,climate change,global warming potential (GWP100),SSP1VLLO_2050,landfill,0.0764122984083594,0.0,0.0764122984083594,False,5.0,5.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",climate_change__global_warming_potential_GWP100__60429ccf,climate change,global warming potential (GWP100),SSP2M_2050,landfill,0.0810535908065874,0.0,0.0810535908065874,False,5.0,5.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",climate_change__global_warming_potential_GWP100__60429ccf,climate change,global warming potential (GWP100),SSP5H_2050,landfill,0.0773191227425181,0.0,0.0773191227425181,False,5.0,5.0,0.0
