method,method_id,impact_category,indicator,sign_change_cells_vs_GWP,rank_inversions_total_vs_GWP,rank_inversions_contemp,rank_inversions_SSP1VLLO_2050,rank_inversions_SSP2M_2050,rank_inversions_SSP5H_2050
"ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)",ionising_radiation__ionising_radiation_potential_IRP__87367cba,ionising radiation,ionising radiation potential (IRP),9,20,7,5,1,7
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",ecotoxicity_freshwater__freshwater_ecotoxicity_potential_FET__a0441fa2,ecotoxicity: freshwater,freshwater ecotoxicity potential (FETP),7,11,2,3,3,3
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)",ecotoxicity_marine__marine_ecotoxicity_potential_METP__4ccba5cc,ecotoxicity: marine,marine ecotoxicity potential (METP),7,11,2,3,3,3
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)",ecotoxicity_terrestrial__terrestrial_ecotoxicity_potential_TE__16f3b1ae,ecotoxicity: terrestrial,terrestrial ecotoxicity potential (TETP),4,18,3,5,5,5
"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)",eutrophication_freshwater__freshwater_eutrophication_potential___55c623e0,eutrophication: freshwater,freshwater eutrophication potential (FEP),3,11,2,3,3,3
"ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)",ozone_depletion__ozone_depletion_potential_ODPinfinit__18207635,ozone depletion,ozone depletion potential (ODPinfinite),3,5,1,2,1,1
"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)",eutrophication_marine__marine_eutrophication_potential_MEP__347a1fc6,eutrophication: marine,marine eutrophication potential (MEP),3,3,0,1,1,1
"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)",human_toxicity_carcinogenic__human_toxicity_potential_HTPc__58612d11,human toxicity: carcinogenic,human toxicity potential (HTPc),1,2,2,0,0,0
"ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)",material_resources_metals_mi__surplus_ore_potential_SOP__3b2a237a,material resources: metals/minerals,surplus ore potential (SOP),1,1,1,0,0,0
"ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)",land_use__agricultural_land_occupation_LOP__335c3f8c,land use,agricultural land occupation (LOP),0,17,2,5,5,5
"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)",human_toxicity_non_carcinoge__human_toxicity_potential_HTPnc__f59ee56c,human toxicity: non-carcinogenic,human toxicity potential (HTPnc),0,11,2,3,3,3
"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",acidification_terrestrial__terrestrial_acidification_potential___d8990d21,acidification: terrestrial,terrestrial acidification potential (TAP),0,8,2,2,2,2
"ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)",particulate_matter_formation__particulate_matter_formation_potenti__590402ad,particulate matter formation,particulate matter formation potential (PMFP),0,8,2,2,2,2
"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)",photochemical_oxidant_format__photochemical_oxidant_formation_pote__feb2290d,photochemical oxidant formation: human health,photochemical oxidant formation potential: humans (HOFP),0,5,2,1,1,1
"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)",photochemical_oxidant_format__photochemical_oxidant_formation_pote__61acd64a,photochemical oxidant formation: terrestrial ecosystems,photochemical oxidant formation potential: ecosystems (EOFP),0,4,2,1,0,1
"ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)",water_use__water_consumption_potential_WCP__96fc4bf7,water use,water consumption potential (WCP),0,3,1,0,1,1
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",climate_change__global_warming_potential_GWP100__60429ccf,climate change,global warming potential (GWP100),0,0,0,0,0,0
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",climate_change__global_warming_potential_GWP1000__8f7dc52f,climate change,global warming potential (GWP1000),0,0,0,0,0,0
"ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)",energy_resources_non_renewab__fossil_fuel_potential_FFP__b59753d2,"energy resources: non-renewable, fossil",fossil fuel potential (FFP),0,0,0,0,0,0
