scenario,route,aligned_n,total_n,fraction
contemp,landfill,17.0,17.0,1.0
contemp,reuse,16.0,17.0,0.9411764705882353
contemp,recycling_postcons,15.0,17.0,0.8823529411764706
contemp,hydrolysis,14.0,17.0,0.8235294117647058
contemp,msfsc,14.0,17.0,0.8235294117647058
SSP1VLLO_2050,landfill,16.0,17.0,0.9411764705882353
SSP1VLLO_2050,reuse,16.0,17.0,0.9411764705882353
SSP1VLLO_2050,recycling_postcons,16.0,17.0,0.9411764705882353
SSP1VLLO_2050,hydrolysis,12.0,17.0,0.7058823529411765
SSP1VLLO_2050,msfsc,15.0,17.0,0.8823529411764706
SSP2M_2050,landfill,17.0,17.0,1.0
SSP2M_2050,reuse,17.0,17.0,1.0
SSP2M_2050,recycling_postcons,16.0,17.0,0.9411764705882353
SSP2M_2050,hydrolysis,12.0,17.0,0.7058823529411765
SSP2M_2050,msfsc,15.0,17.0,0.8823529411764706
SSP5H_2050,landfill,16.0,17.0,0.9411764705882353
SSP5H_2050,reuse,16.0,17.0,0.9411764705882353
SSP5H_2050,recycling_postcons,16.0,17.0,0.9411764705882353
SSP5H_2050,hydrolysis,12.0,17.0,0.7058823529411765
SSP5H_2050,msfsc,14.0,17.0,0.8235294117647058
