tag,iteration,route,case,method,score
contemp_al_base_routes_uncertainty_rewire_embedded,1,reuse,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.013248429288722129
contemp_al_base_routes_uncertainty_rewire_embedded,1,reuse,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-43.22447094603932
contemp_al_base_routes_uncertainty_rewire_embedded,1,reuse,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-43.21122251675055
contemp_al_base_routes_uncertainty_rewire_embedded,1,reuse,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-43.21122251675055
contemp_al_base_routes_uncertainty_rewire_embedded,1,recycling_postcons,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",1.998647485966726
contemp_al_base_routes_uncertainty_rewire_embedded,1,recycling_postcons,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-37.26893775136284
contemp_al_base_routes_uncertainty_rewire_embedded,1,landfill,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.10732073237169024
contemp_al_base_routes_uncertainty_rewire_embedded,1,landfill,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.10732073237169024
contemp_al_base_routes_uncertainty_rewire_embedded,2,reuse,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.013262143437847715
contemp_al_base_routes_uncertainty_rewire_embedded,2,reuse,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-56.110443207362266
contemp_al_base_routes_uncertainty_rewire_embedded,2,reuse,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-56.09718106392446
contemp_al_base_routes_uncertainty_rewire_embedded,2,reuse,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-56.09718106392446
contemp_al_base_routes_uncertainty_rewire_embedded,2,recycling_postcons,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",2.558143573564989
contemp_al_base_routes_uncertainty_rewire_embedded,2,recycling_postcons,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-50.13448085458224
contemp_al_base_routes_uncertainty_rewire_embedded,2,landfill,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.16630357253534447
contemp_al_base_routes_uncertainty_rewire_embedded,2,landfill,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.16630357253534447
contemp_al_base_routes_uncertainty_rewire_embedded,3,reuse,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.010385868660782074
contemp_al_base_routes_uncertainty_rewire_embedded,3,reuse,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-55.990556337000115
contemp_al_base_routes_uncertainty_rewire_embedded,3,reuse,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-55.980170468339345
contemp_al_base_routes_uncertainty_rewire_embedded,3,reuse,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-55.980170468339345
contemp_al_base_routes_uncertainty_rewire_embedded,3,recycling_postcons,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",2.164772695659442
contemp_al_base_routes_uncertainty_rewire_embedded,3,recycling_postcons,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-52.01399020436983
contemp_al_base_routes_uncertainty_rewire_embedded,3,landfill,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.08082205244308628
contemp_al_base_routes_uncertainty_rewire_embedded,3,landfill,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.08082205244308628
contemp_al_base_routes_uncertainty_rewire_embedded,4,reuse,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.012370001480492613
contemp_al_base_routes_uncertainty_rewire_embedded,4,reuse,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-46.28552916003471
contemp_al_base_routes_uncertainty_rewire_embedded,4,reuse,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-46.27315915855414
contemp_al_base_routes_uncertainty_rewire_embedded,4,reuse,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-46.27315915855414
contemp_al_base_routes_uncertainty_rewire_embedded,4,recycling_postcons,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",2.3064065135578695
