from_key,from_db,from_code,from_name,from_location,to_key,to_db,to_code,to_name,to_location,amount,unit,uncertainty_type,loc,scale,minimum,maximum,comment
"('mtcw_foreground_contemporary_uncertainty_analysis', 'di_water_CA')",mtcw_foreground_contemporary_uncertainty_analysis,di_water_CA,"Water, deionised (CA proxy; utilities localized; AB electricity)",CA,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'b5f2c05cbc924c8305705c84be3f92db')",ecoinvent_3.10.1.1_consequential_unitprocess,b5f2c05cbc924c8305705c84be3f92db,"market for wastewater, unpolluted",RoW,-8.03028880999999e-05,cubic meter,2,-9.432404971282246,0.07348469228349534,,,
"('mtcw_foreground_contemporary_uncertainty_analysis', 'di_water_CA')",mtcw_foreground_contemporary_uncertainty_analysis,di_water_CA,"Water, deionised (CA proxy; utilities localized; AB electricity)",CA,"('ecoinvent_3.10.1.1_consequential_unitprocess', '2eb42d6ab4859c12bed5f4dd310fa0d2')",ecoinvent_3.10.1.1_consequential_unitprocess,2eb42d6ab4859c12bed5f4dd310fa0d2,market for sewage sludge,RoW,-2.22e-05,cubic meter,2,-10.79676826908604,0.4033608806019741,,,
"('mtcw_foreground_contemporary_uncertainty_analysis', 'wastewater_treatment_unpolluted_CAe')",mtcw_foreground_contemporary_uncertainty_analysis,wastewater_treatment_unpolluted_CAe,Wastewater treatment proxy (lorry/urban preferred; CA proxy; AB electricity),CA,"('ecoinvent_3.10.1.1_consequential_unitprocess', '63567a8e293f26937f14f133483a4416')",ecoinvent_3.10.1.1_consequential_unitprocess,63567a8e293f26937f14f133483a4416,market for waste reinforced concrete,RoW,-0.12535834177000105,kilogram,2,-2.2492789087659477,0.5877074101966046,,,
"('mtcw_foreground_contemporary_uncertainty_analysis', 'wastewater_treatment_unpolluted_CAe')",mtcw_foreground_contemporary_uncertainty_analysis,wastewater_treatment_unpolluted_CAe,Wastewater treatment proxy (lorry/urban preferred; CA proxy; AB electricity),CA,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'a484d377996bd08cc4b1d0d05136c6ca')",ecoinvent_3.10.1.1_consequential_unitprocess,a484d377996bd08cc4b1d0d05136c6ca,"market for sewage sludge, 97% water, WWT[U], WW from lorry production",RoW,-0.0149752493623858,kilogram,2,-4.201395558207025,0.00884024886527523,,,
"('mtcw_foreground_contemporary_uncertainty_analysis', 'wastewater_treatment_unpolluted_CAe')",mtcw_foreground_contemporary_uncertainty_analysis,wastewater_treatment_unpolluted_CAe,Wastewater treatment proxy (lorry/urban preferred; CA proxy; AB electricity),CA,"('ecoinvent_3.10.1.1_consequential_unitprocess', '4d5f6fc9ce57222e89033a0e326e8ef5')",ecoinvent_3.10.1.1_consequential_unitprocess,4d5f6fc9ce57222e89033a0e326e8ef5,"market for waste plastic, mixture",RoW,-0.009607239429821241,kilogram,2,-4.772938357431323,0.5053711507397312,,,
"('mtcw_foreground_contemporary_uncertainty_analysis', 'wastewater_treatment_unpolluted_CAe')",mtcw_foreground_contemporary_uncertainty_analysis,wastewater_treatment_unpolluted_CAe,Wastewater treatment proxy (lorry/urban preferred; CA proxy; AB electricity),CA,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'e2ff0f8e63939913b6511d07fd691f22')",ecoinvent_3.10.1.1_consequential_unitprocess,e2ff0f8e63939913b6511d07fd691f22,market for waste graphical paper,RoW,-0.009203612438377974,kilogram,2,-4.815859215651039,0.5053711507397312,,,
"('mtcw_foreground_contemporary_uncertainty_analysis', 'wastewater_treatment_unpolluted_CAe')",mtcw_foreground_contemporary_uncertainty_analysis,wastewater_treatment_unpolluted_CAe,Wastewater treatment proxy (lorry/urban preferred; CA proxy; AB electricity),CA,"('ecoinvent_3.10.1.1_consequential_unitprocess', '774818535426b070b331d7b992143fa5')",ecoinvent_3.10.1.1_consequential_unitprocess,774818535426b070b331d7b992143fa5,market for waste reinforced concrete,Europe without Switzerland,-0.00878367273203496,kilogram,2,-4.907560652191027,0.5877074101966046,,,
"('mtcw_foreground_contemporary_uncertainty_analysis', 'wastewater_treatment_unpolluted_CAe')",mtcw_foreground_contemporary_uncertainty_analysis,wastewater_treatment_unpolluted_CAe,Wastewater treatment proxy (lorry/urban preferred; CA proxy; AB electricity),CA,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'a3ba60a42c0f63a97cd0de162b1fcdcd')",ecoinvent_3.10.1.1_consequential_unitprocess,a3ba60a42c0f63a97cd0de162b1fcdcd,"market for inert waste, for final disposal",RoW,-0.00481033510353459,kilogram,2,-5.464688529196667,0.5053711507397312,,,
"('mtcw_foreground_contemporary_uncertainty_analysis', 'wastewater_treatment_unpolluted_CAe')",mtcw_foreground_contemporary_uncertainty_analysis,wastewater_treatment_unpolluted_CAe,Wastewater treatment proxy (lorry/urban preferred; CA proxy; AB electricity),CA,"('ecoinvent_3.10.1.1_consequential_unitprocess', '573a022d3897c7263af1a226556fe902')",ecoinvent_3.10.1.1_consequential_unitprocess,573a022d3897c7263af1a226556fe902,market for waste reinforcement steel,RoW,-0.004640021916532,kilogram,2,-5.545736189364611,0.5877074101966046,,,
"('mtcw_foreground_contemporary_uncertainty_analysis', 'wastewater_treatment_unpolluted_CAe')",mtcw_foreground_contemporary_uncertainty_analysis,wastewater_treatment_unpolluted_CAe,Wastewater treatment proxy (lorry/urban preferred; CA proxy; AB electricity),CA,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'c1f6db6e52d26c019d374e3401bad103')",ecoinvent_3.10.1.1_consequential_unitprocess,c1f6db6e52d26c019d374e3401bad103,"market for sewage sludge, 70% water, WWT[U], WW from lorry production",RoW,-0.000645311386863381,kilogram,2,-7.348455587333783,0.07318469785412794,,,
"('mtcw_foreground_contemporary_uncertainty_analysis', 'wastewater_treatment_unpolluted_CAe')",mtcw_foreground_contemporary_uncertainty_analysis,wastewater_treatment_unpolluted_CAe,Wastewater treatment proxy (lorry/urban preferred; CA proxy; AB electricity),CA,"('ecoinvent_3.10.1.1_consequential_unitprocess', '7d99bbe50badc87cbb1474926d8a460f')",ecoinvent_3.10.1.1_consequential_unitprocess,7d99bbe50badc87cbb1474926d8a460f,"market for sewage sludge, 75% water, WWT[U], WW from lorry production",GLO,-0.000500264103434935,kilogram,2,-7.602260392124356,0.06141661013113635,,,
"('mtcw_foreground_contemporary_uncertainty_analysis', 'wastewater_treatment_unpolluted_CAe')",mtcw_foreground_contemporary_uncertainty_analysis,wastewater_treatment_unpolluted_CAe,Wastewater treatment proxy (lorry/urban preferred; CA proxy; AB electricity),CA,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'babed40cb299136a4b7f6adca4cfdb9b')",ecoinvent_3.10.1.1_consequential_unitprocess,babed40cb299136a4b7f6adca4cfdb9b,"market for iron scrap, sorted, pressed",RoW,-0.000486476853038157,kilogram,2,-7.801021236014494,0.5877074101966046,,,
"('mtcw_foreground_contemporary_uncertainty_analysis', 'wastewater_treatment_unpolluted_CAe')",mtcw_foreground_contemporary_uncertainty_analysis,wastewater_treatment_unpolluted_CAe,Wastewater treatment proxy (lorry/urban preferred; CA proxy; AB electricity),CA,"('ecoinvent_3.10.1.1_consequential_unitprocess', '2dc52757cc51c1a1f679aa22d8b097af')",ecoinvent_3.10.1.1_consequential_unitprocess,2dc52757cc51c1a1f679aa22d8b097af,market group for waste graphical paper,Europe without Switzerland,-0.0003318002347485225,kilogram,2,-8.138677472708114,0.5053711507397312,,,
"('mtcw_foreground_contemporary_uncertainty_analysis', 'wastewater_treatment_unpolluted_CAe')",mtcw_foreground_contemporary_uncertainty_analysis,wastewater_treatment_unpolluted_CAe,Wastewater treatment proxy (lorry/urban preferred; CA proxy; AB electricity),CA,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'df6413ba146a985a2850af5add9b6982')",ecoinvent_3.10.1.1_consequential_unitprocess,df6413ba146a985a2850af5add9b6982,market for waste graphical paper,BR,-0.0001375333079365019,kilogram,2,-9.019344430654712,0.5053711507397312,,,
"('mtcw_foreground_contemporary_uncertainty_analysis', 'wastewater_treatment_unpolluted_CAe')",mtcw_foreground_contemporary_uncertainty_analysis,wastewater_treatment_unpolluted_CAe,Wastewater treatment proxy (lorry/urban preferred; CA proxy; AB electricity),CA,"('ecoinvent_3.10.1.1_consequential_unitprocess', '8287dbfc8602866a0066dfa29de953ba')",ecoinvent_3.10.1.1_consequential_unitprocess,8287dbfc8602866a0066dfa29de953ba,market for waste polyethylene/polypropylene product,RoW,-0.00013192944816653744,kilogram,2,-9.10594326185201,0.5877074101966046,,,
