exchange_type,amount,unit,input_key,input_name,input_location,uncertainty_type,loc,scale,minimum,maximum,comment
production,1.0,kilogram,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'c9f6ade6f2d9519abce2145d41df16a6')",hard coal mine operation and hard coal preparation,CN,0,1.0,,,,0
technosphere,6e-05,kilogram,"('ecoinvent_3.10.1.1_consequential_unitprocess', '88db34d4e37ec6d713a6c46f0bec83f4')",market for blasting,GLO,2,-9.721165995742174,0.714142842854285,,,Own assumption according to Dones et al. (2007). 
technosphere,-0.155,kilogram,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'd7bb96f8a7b4f46227b075b56c381484')",market for coal slurry,GLO,2,-1.8643301620628905,0.6633249580710799,,,Emissions from mining and preparation activities: Own assumption according to Dones et al. (2007). 
technosphere,0.0242,megajoule,"('ecoinvent_3.10.1.1_consequential_unitprocess', '69e787e32812ef04ac5a71272c10de05')","market for diesel, burned in building machine",GLO,2,-3.7214026458194964,0.4589117562233506,,,Own assumption according to Dones et al. (2007). 
technosphere,0.0183,kilowatt hour,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'f79c964d9a81c188351caec30d91e5dd')","market group for electricity, high voltage",CN,2,-4.000854219134761,0.4589117562233506,,,Own assumption according to Dones et al. (2007). 
technosphere,0.0242,kilowatt hour,"('ecoinvent_3.10.1.1_consequential_unitprocess', '3f4cd5f9b39dbb1ffecd273462766f1b')","electricity production, hard coal, at coal mine power plant",CN,0,0.0242,,,,Own assumption according to Dones et al. (2007). 
technosphere,0.107,megajoule,"('ecoinvent_3.10.1.1_consequential_unitprocess', '6af8008c3df47e7aeb9c87e00df019db')","market for heat, district or industrial, other than natural gas",RoW,2,-2.234926444520231,0.4589117562233506,,,Own assumption according to Dones et al. (2007). 
technosphere,3.33e-11,unit,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'f1b89e1f7a3d7d1440bb3c9246b0f7b8')","mine construction, underground, hard coal",CN,2,-24.12546371894215,0.714142842854285,,,Own assumption according to Dones et al. (2007). 
technosphere,0.0011,kilogram,"('ecoinvent_3.10.1.1_consequential_unitprocess', '4a7b2759cc2c43a29d8d8cf85cf082a9')",market for reinforcing steel,GLO,2,-6.812445099177812,0.4589117562233506,,,Own assumption according to Dones et al. (2007). 
technosphere,2.18e-06,cubic meter,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'dd628a10e5bd6d53233336555036657e')","market for sawlog and veneer log, hardwood, measured as solid wood under bark",RoW,2,-13.036185681163277,0.4589117562233506,,,Own assumption according to Dones et al. (2007). 
technosphere,-1.6396,kilogram,"('ecoinvent_3.10.1.1_consequential_unitprocess', '7fe2e18022c7c80e84260d8592fea5b9')",market for spoil from hard coal mining,GLO,2,0.49445230964804543,0.469041575982343,,,Emissions from mining and preparation activities: Own assumption according to Dones et al. (2007). 
technosphere,0.442,kilogram,"('ecoinvent_3.10.1.1_consequential_unitprocess', '564ec3196d5b9a895391c3a59b8ebe50')",market for tap water,RoW,2,-0.816445396904439,0.4589117562233506,,,Own assumption according to Dones et al. (2007). 
biosphere,2.55e-06,kilogram,"('ecoinvent-3.10-biosphere', 'fc9f9a81-c4b9-4dce-bc20-9f04e05ca2f1')",Acetaldehyde,,2,-12.87941719879394,0.714142842854285,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,1.53286e-07,kilogram,"('ecoinvent-3.10-biosphere', '9c3bd678-1b2f-4b95-a245-d5c8a3fe326b')",Aluminium III,,2,-15.690960379439865,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,1.84119e-14,kilogram,"('ecoinvent-3.10-biosphere', '43b29ad9-26dd-4838-b931-6216e55a0120')",Antimony ion,,2,-31.625779200210935,0.9273618495495705,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,2.20149e-10,kilogram,"('ecoinvent-3.10-biosphere', '7348af7c-e102-4a03-a0df-efce16469eed')",Arsenic ion,,2,-22.236716526094586,0.9273618495495705,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,3.63685e-08,kilogram,"('ecoinvent-3.10-biosphere', '24cf82f8-c517-4fef-8f93-17519adb855e')",Barium II,,2,-17.129562821580535,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,5.83185e-06,kilogram,"('ecoinvent-3.10-biosphere', '5e883a00-04e6-4d96-8dce-12d7117c6635')",Benzene,,2,-12.052176283753296,0.714142842854285,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,2.09631e-11,kilogram,"('ecoinvent-3.10-biosphere', '5d4b497b-d265-42d1-a41a-113785a6d694')",Beryllium II,,2,-24.588257366648588,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,1.12327e-10,kilogram,"('ecoinvent-3.10-biosphere', '512364ac-5bba-4b77-8712-981247617519')",Boron,,2,-22.909606855655657,0.9273618495495705,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,4.97185e-12,kilogram,"('ecoinvent-3.10-biosphere', 'e2d58f90-9aac-4ac4-87f7-bbd6cfc358e3')",Cadmium II,,2,-26.027229111681272,0.9273618495495705,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
biosphere,8.20714e-07,kilogram,"('ecoinvent-3.10-biosphere', '15fd8f0f-c3c2-4f63-b8d0-86793a22aacd')",Calcium II,,2,-14.013091143847737,0.5,,,"Emissions from uncontrolled coal fires: These emissions were modeled under the assumption of 20Mt hard coal burnt under full combustion conditions (open burning) in coal seam fires per year using an averaged composition of Chinese coals reported by USGS’s World Coal Quality Inventory (USGS, 2010), average carbon content of 0.635."
