tag,iteration,case,method,score
contemp_msfsc_uncertainty,1,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",6.093307787757896
contemp_msfsc_uncertainty,1,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-27.041725017057654
contemp_msfsc_uncertainty,1,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-20.948417229299793
contemp_msfsc_uncertainty,2,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",7.7662083835021
contemp_msfsc_uncertainty,2,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-37.67510705082075
contemp_msfsc_uncertainty,2,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-29.90889866731858
contemp_msfsc_uncertainty,3,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",6.133925071435419
contemp_msfsc_uncertainty,3,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-36.91158913051289
contemp_msfsc_uncertainty,3,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-30.777664059077463
contemp_msfsc_uncertainty,4,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",9.424654079182108
contemp_msfsc_uncertainty,4,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-28.664114997131918
contemp_msfsc_uncertainty,4,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-19.23946091794982
contemp_msfsc_uncertainty,5,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",6.007046251047578
contemp_msfsc_uncertainty,5,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-31.149843575253513
contemp_msfsc_uncertainty,5,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-25.142797324205937
contemp_msfsc_uncertainty,6,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",7.572591858922477
contemp_msfsc_uncertainty,6,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-32.494797306314986
contemp_msfsc_uncertainty,6,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-24.922205447392503
contemp_msfsc_uncertainty,7,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",5.485840252175427
contemp_msfsc_uncertainty,7,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-36.06936976459933
contemp_msfsc_uncertainty,7,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-30.583529512423898
contemp_msfsc_uncertainty,8,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",8.49197515534363
contemp_msfsc_uncertainty,8,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-32.866497226589885
contemp_msfsc_uncertainty,8,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-24.374522071246275
contemp_msfsc_uncertainty,9,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",8.226575531005988
contemp_msfsc_uncertainty,9,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-31.856302117038467
contemp_msfsc_uncertainty,9,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-23.62972658603248
contemp_msfsc_uncertainty,10,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",6.966970918362894
contemp_msfsc_uncertainty,10,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-37.106982094794
contemp_msfsc_uncertainty,10,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-30.140011176431113
contemp_msfsc_uncertainty,11,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",6.4815306777736135
contemp_msfsc_uncertainty,11,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-33.49877243248504
contemp_msfsc_uncertainty,11,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-27.017241754711446
contemp_msfsc_uncertainty,12,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",5.440550916524895
contemp_msfsc_uncertainty,12,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-31.954559827686968
contemp_msfsc_uncertainty,12,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-26.514008911162044
contemp_msfsc_uncertainty,13,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",8.439905512604094
contemp_msfsc_uncertainty,13,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-26.464298141577817
contemp_msfsc_uncertainty,13,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-18.024392628973768
contemp_msfsc_uncertainty,14,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",6.209176566818583
contemp_msfsc_uncertainty,14,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-33.473755500151846
contemp_msfsc_uncertainty,14,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-27.26457893333328
contemp_msfsc_uncertainty,15,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",7.744840161252168
