from_key,from_code,from_name,to_key,to_db,to_code,to_name,amount,unit,comment
"('mtcw_foreground_prospective__fgonly', 'wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050')",wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050,Wastewater treatment proxy (lorry/urban preferred; CA-proxy) [SSP1VLLO_2050],"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '62147b94563a47d1aac4a56fc6865e36')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,62147b94563a47d1aac4a56fc6865e36,"market for aluminium scrap, post-consumer, prepared for melting",-5.974277155473828e-05,kilogram,
"('mtcw_foreground_prospective__fgonly', 'wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050')",wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050,Wastewater treatment proxy (lorry/urban preferred; CA-proxy) [SSP1VLLO_2050],"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'eced8d2675194f22914ed25a0b9ed735')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,eced8d2675194f22914ed25a0b9ed735,"market for copper scrap, sorted, pressed",-7.207064481917769e-05,kilogram,
"('mtcw_foreground_prospective__fgonly', 'wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050')",wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050,Wastewater treatment proxy (lorry/urban preferred; CA-proxy) [SSP1VLLO_2050],"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '203c6475092048889054041da18a05b7')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,203c6475092048889054041da18a05b7,"market for inert waste, for final disposal",-0.004810335114598274,kilogram,
"('mtcw_foreground_prospective__fgonly', 'wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050')",wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050,Wastewater treatment proxy (lorry/urban preferred; CA-proxy) [SSP1VLLO_2050],"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'b9496d430acb44e38278738ca24f601f')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,b9496d430acb44e38278738ca24f601f,"market for iron scrap, sorted, pressed",-0.00048647684161551297,kilogram,
"('mtcw_foreground_prospective__fgonly', 'wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050')",wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050,Wastewater treatment proxy (lorry/urban preferred; CA-proxy) [SSP1VLLO_2050],"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '80a269c698954ffba24fb0695c1731dc')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,80a269c698954ffba24fb0695c1731dc,"market for sewage sludge, 70% water, WWT[U], WW from lorry production",-0.0006453113746829331,kilogram,
"('mtcw_foreground_prospective__fgonly', 'wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050')",wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050,Wastewater treatment proxy (lorry/urban preferred; CA-proxy) [SSP1VLLO_2050],"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '1e311d936d58438da3ffb5b9e3c12620')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,1e311d936d58438da3ffb5b9e3c12620,"market for sewage sludge, 75% water, WWT[U], WW from lorry production",-0.0005002641119062901,kilogram,
"('mtcw_foreground_prospective__fgonly', 'wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050')",wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050,Wastewater treatment proxy (lorry/urban preferred; CA-proxy) [SSP1VLLO_2050],"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '287fabb07d554815be7fc6215fec3b4a')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,287fabb07d554815be7fc6215fec3b4a,"market for sewage sludge, 97% water, WWT[U], WW from lorry production",-0.014975249767303467,kilogram,
"('mtcw_foreground_prospective__fgonly', 'wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050')",wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050,Wastewater treatment proxy (lorry/urban preferred; CA-proxy) [SSP1VLLO_2050],"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '0f1234473a5e44bda2df235b40cf2f67')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,0f1234473a5e44bda2df235b40cf2f67,market for waste bitumen,-2.9340933906496502e-05,kilogram,
"('mtcw_foreground_prospective__fgonly', 'wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050')",wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050,Wastewater treatment proxy (lorry/urban preferred; CA-proxy) [SSP1VLLO_2050],"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '9fd20ad44ffe47dca2fe47e1853fbe0e')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,9fd20ad44ffe47dca2fe47e1853fbe0e,market for waste bitumen,-5.630284505286909e-08,kilogram,
"('mtcw_foreground_prospective__fgonly', 'wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050')",wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050,Wastewater treatment proxy (lorry/urban preferred; CA-proxy) [SSP1VLLO_2050],"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '9b5ef944bac4475da364d85691af83df')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,9b5ef944bac4475da364d85691af83df,market for waste graphical paper,-2.100196070387028e-05,kilogram,
