from_key,from_code,from_name,to_key,to_db,to_code,to_name,amount,unit,comment
"('mtcw_foreground_prospective__fgonly', 'wastewater_treatment_unpolluted_CAe__SSP2M_2050')",wastewater_treatment_unpolluted_CAe__SSP2M_2050,Wastewater treatment proxy (lorry/urban preferred; CA-proxy) [SSP2M_2050],"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '3fa7fb96c89f4e5eac6aa01375d7212c')",prospective_conseq_IMAGE_SSP2M_2050_PERF,3fa7fb96c89f4e5eac6aa01375d7212c,"market for aluminium scrap, post-consumer, prepared for melting",-5.974277155473828e-05,kilogram,
"('mtcw_foreground_prospective__fgonly', 'wastewater_treatment_unpolluted_CAe__SSP2M_2050')",wastewater_treatment_unpolluted_CAe__SSP2M_2050,Wastewater treatment proxy (lorry/urban preferred; CA-proxy) [SSP2M_2050],"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'e063f09667b94fe8b58abc38d2c2695b')",prospective_conseq_IMAGE_SSP2M_2050_PERF,e063f09667b94fe8b58abc38d2c2695b,"market for copper scrap, sorted, pressed",-7.207064481917769e-05,kilogram,
"('mtcw_foreground_prospective__fgonly', 'wastewater_treatment_unpolluted_CAe__SSP2M_2050')",wastewater_treatment_unpolluted_CAe__SSP2M_2050,Wastewater treatment proxy (lorry/urban preferred; CA-proxy) [SSP2M_2050],"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '03111086233047d982c1220bc4783942')",prospective_conseq_IMAGE_SSP2M_2050_PERF,03111086233047d982c1220bc4783942,"market for inert waste, for final disposal",-0.004810335114598274,kilogram,
"('mtcw_foreground_prospective__fgonly', 'wastewater_treatment_unpolluted_CAe__SSP2M_2050')",wastewater_treatment_unpolluted_CAe__SSP2M_2050,Wastewater treatment proxy (lorry/urban preferred; CA-proxy) [SSP2M_2050],"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'f9b4b36dfadd40169144ad1d7e526e7c')",prospective_conseq_IMAGE_SSP2M_2050_PERF,f9b4b36dfadd40169144ad1d7e526e7c,"market for iron scrap, sorted, pressed",-0.00048647684161551297,kilogram,
"('mtcw_foreground_prospective__fgonly', 'wastewater_treatment_unpolluted_CAe__SSP2M_2050')",wastewater_treatment_unpolluted_CAe__SSP2M_2050,Wastewater treatment proxy (lorry/urban preferred; CA-proxy) [SSP2M_2050],"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'df96de0fc7614b65ab0caf9901ef1e5d')",prospective_conseq_IMAGE_SSP2M_2050_PERF,df96de0fc7614b65ab0caf9901ef1e5d,"market for sewage sludge, 70% water, WWT[U], WW from lorry production",-0.0006453113746829331,kilogram,
"('mtcw_foreground_prospective__fgonly', 'wastewater_treatment_unpolluted_CAe__SSP2M_2050')",wastewater_treatment_unpolluted_CAe__SSP2M_2050,Wastewater treatment proxy (lorry/urban preferred; CA-proxy) [SSP2M_2050],"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '9dcb3aa9463b4eb7ab77c45160f1801b')",prospective_conseq_IMAGE_SSP2M_2050_PERF,9dcb3aa9463b4eb7ab77c45160f1801b,"market for sewage sludge, 75% water, WWT[U], WW from lorry production",-0.0005002641119062901,kilogram,
"('mtcw_foreground_prospective__fgonly', 'wastewater_treatment_unpolluted_CAe__SSP2M_2050')",wastewater_treatment_unpolluted_CAe__SSP2M_2050,Wastewater treatment proxy (lorry/urban preferred; CA-proxy) [SSP2M_2050],"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'd269a11cbc8a470fbd3534d6b35a712b')",prospective_conseq_IMAGE_SSP2M_2050_PERF,d269a11cbc8a470fbd3534d6b35a712b,"market for sewage sludge, 97% water, WWT[U], WW from lorry production",-0.014975249767303467,kilogram,
"('mtcw_foreground_prospective__fgonly', 'wastewater_treatment_unpolluted_CAe__SSP2M_2050')",wastewater_treatment_unpolluted_CAe__SSP2M_2050,Wastewater treatment proxy (lorry/urban preferred; CA-proxy) [SSP2M_2050],"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '010e6fc1839a4ffe9f1b07b9d095004a')",prospective_conseq_IMAGE_SSP2M_2050_PERF,010e6fc1839a4ffe9f1b07b9d095004a,market for waste bitumen,-2.9340933906496502e-05,kilogram,
"('mtcw_foreground_prospective__fgonly', 'wastewater_treatment_unpolluted_CAe__SSP2M_2050')",wastewater_treatment_unpolluted_CAe__SSP2M_2050,Wastewater treatment proxy (lorry/urban preferred; CA-proxy) [SSP2M_2050],"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'd934ad8e53b84bd5bdb082dd3942f9fd')",prospective_conseq_IMAGE_SSP2M_2050_PERF,d934ad8e53b84bd5bdb082dd3942f9fd,market for waste bitumen,-5.630284505286909e-08,kilogram,
"('mtcw_foreground_prospective__fgonly', 'wastewater_treatment_unpolluted_CAe__SSP2M_2050')",wastewater_treatment_unpolluted_CAe__SSP2M_2050,Wastewater treatment proxy (lorry/urban preferred; CA-proxy) [SSP2M_2050],"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '44332fed3d4545cbb7bc6c684a72b656')",prospective_conseq_IMAGE_SSP2M_2050_PERF,44332fed3d4545cbb7bc6c684a72b656,market for waste graphical paper,-2.100196070387028e-05,kilogram,
