from_key,from_code,from_name,to_key,to_db,to_code,to_name,amount,unit,comment
"('mtcw_foreground_prospective__fgonly', 'wastewater_treatment_unpolluted_CAe__SSP5H_2050')",wastewater_treatment_unpolluted_CAe__SSP5H_2050,Wastewater treatment proxy (lorry/urban preferred; CA-proxy) [SSP5H_2050],"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'd54126c4ed6b4e81a41f8e97b034f19f')",prospective_conseq_IMAGE_SSP5H_2050_PERF,d54126c4ed6b4e81a41f8e97b034f19f,"market for aluminium scrap, post-consumer, prepared for melting",-5.974277155473828e-05,kilogram,
"('mtcw_foreground_prospective__fgonly', 'wastewater_treatment_unpolluted_CAe__SSP5H_2050')",wastewater_treatment_unpolluted_CAe__SSP5H_2050,Wastewater treatment proxy (lorry/urban preferred; CA-proxy) [SSP5H_2050],"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'e99522a1e9414ecc84e3dd95ca040220')",prospective_conseq_IMAGE_SSP5H_2050_PERF,e99522a1e9414ecc84e3dd95ca040220,"market for copper scrap, sorted, pressed",-7.207064481917769e-05,kilogram,
"('mtcw_foreground_prospective__fgonly', 'wastewater_treatment_unpolluted_CAe__SSP5H_2050')",wastewater_treatment_unpolluted_CAe__SSP5H_2050,Wastewater treatment proxy (lorry/urban preferred; CA-proxy) [SSP5H_2050],"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '63cb4a70f9ca46998da3115192040ca9')",prospective_conseq_IMAGE_SSP5H_2050_PERF,63cb4a70f9ca46998da3115192040ca9,"market for inert waste, for final disposal",-0.004810335114598274,kilogram,
"('mtcw_foreground_prospective__fgonly', 'wastewater_treatment_unpolluted_CAe__SSP5H_2050')",wastewater_treatment_unpolluted_CAe__SSP5H_2050,Wastewater treatment proxy (lorry/urban preferred; CA-proxy) [SSP5H_2050],"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'c67da546f0bf415da5a2fb086f01d426')",prospective_conseq_IMAGE_SSP5H_2050_PERF,c67da546f0bf415da5a2fb086f01d426,"market for iron scrap, sorted, pressed",-0.00048647684161551297,kilogram,
"('mtcw_foreground_prospective__fgonly', 'wastewater_treatment_unpolluted_CAe__SSP5H_2050')",wastewater_treatment_unpolluted_CAe__SSP5H_2050,Wastewater treatment proxy (lorry/urban preferred; CA-proxy) [SSP5H_2050],"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'd100719e10a14a75af61045c24f5643a')",prospective_conseq_IMAGE_SSP5H_2050_PERF,d100719e10a14a75af61045c24f5643a,"market for sewage sludge, 70% water, WWT[U], WW from lorry production",-0.0006453113746829331,kilogram,
"('mtcw_foreground_prospective__fgonly', 'wastewater_treatment_unpolluted_CAe__SSP5H_2050')",wastewater_treatment_unpolluted_CAe__SSP5H_2050,Wastewater treatment proxy (lorry/urban preferred; CA-proxy) [SSP5H_2050],"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '2ac3d7e1f29b43ab9d778b56d0063b07')",prospective_conseq_IMAGE_SSP5H_2050_PERF,2ac3d7e1f29b43ab9d778b56d0063b07,"market for sewage sludge, 75% water, WWT[U], WW from lorry production",-0.0005002641119062901,kilogram,
"('mtcw_foreground_prospective__fgonly', 'wastewater_treatment_unpolluted_CAe__SSP5H_2050')",wastewater_treatment_unpolluted_CAe__SSP5H_2050,Wastewater treatment proxy (lorry/urban preferred; CA-proxy) [SSP5H_2050],"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '89b71aecf9c44f92bfb0f92f79875a7a')",prospective_conseq_IMAGE_SSP5H_2050_PERF,89b71aecf9c44f92bfb0f92f79875a7a,"market for sewage sludge, 97% water, WWT[U], WW from lorry production",-0.014975249767303467,kilogram,
"('mtcw_foreground_prospective__fgonly', 'wastewater_treatment_unpolluted_CAe__SSP5H_2050')",wastewater_treatment_unpolluted_CAe__SSP5H_2050,Wastewater treatment proxy (lorry/urban preferred; CA-proxy) [SSP5H_2050],"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '1c1b252a08b140c998201aef5a272daf')",prospective_conseq_IMAGE_SSP5H_2050_PERF,1c1b252a08b140c998201aef5a272daf,market for waste bitumen,-2.9340933906496502e-05,kilogram,
"('mtcw_foreground_prospective__fgonly', 'wastewater_treatment_unpolluted_CAe__SSP5H_2050')",wastewater_treatment_unpolluted_CAe__SSP5H_2050,Wastewater treatment proxy (lorry/urban preferred; CA-proxy) [SSP5H_2050],"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '8c8276e1ee9d4f248134ad9a022cbfa2')",prospective_conseq_IMAGE_SSP5H_2050_PERF,8c8276e1ee9d4f248134ad9a022cbfa2,market for waste bitumen,-5.630284505286909e-08,kilogram,
"('mtcw_foreground_prospective__fgonly', 'wastewater_treatment_unpolluted_CAe__SSP5H_2050')",wastewater_treatment_unpolluted_CAe__SSP5H_2050,Wastewater treatment proxy (lorry/urban preferred; CA-proxy) [SSP5H_2050],"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'cfedc22bf6864f7b980721d19cdcb16d')",prospective_conseq_IMAGE_SSP5H_2050_PERF,cfedc22bf6864f7b980721d19cdcb16d,market for waste graphical paper,-2.100196070387028e-05,kilogram,
