from_key,from_code,from_name,to_key,to_db,to_code,to_name,amount,unit,uncertainty_type,loc,scale,minimum,maximum
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050')",wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050,Wastewater treatment proxy (joint) [SSP1VLLO_2050],"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '62147b94563a47d1aac4a56fc6865e36')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,62147b94563a47d1aac4a56fc6865e36,"market for aluminium scrap, post-consumer, prepared for melting",-6.31077418802306e-05,kilogram,2,-9.670666694641113,0.5575840473175049,,
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050')",wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050,Wastewater treatment proxy (joint) [SSP1VLLO_2050],"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'eced8d2675194f22914ed25a0b9ed735')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,eced8d2675194f22914ed25a0b9ed735,"market for copper scrap, sorted, pressed",-7.612997433170676e-05,kilogram,2,-9.483068466186523,0.5575840473175049,,
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050')",wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050,Wastewater treatment proxy (joint) [SSP1VLLO_2050],"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '58abb81ed15d46ee9c21bdea52550beb')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,58abb81ed15d46ee9c21bdea52550beb,"market for inert waste, for final disposal",-0.0048103309236466885,kilogram,2,-5.336989402770996,0.4699999988079071,,
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050')",wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050,Wastewater treatment proxy (joint) [SSP1VLLO_2050],"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '5c0161b36c354ff09d6220870b62b661')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,5c0161b36c354ff09d6220870b62b661,"market for iron scrap, sorted, pressed",-0.0005138773121871054,kilogram,2,-7.573525905609131,0.5575840473175049,,
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050')",wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050,Wastewater treatment proxy (joint) [SSP1VLLO_2050],"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'd53a589e778747989888a9a859cb4818')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,d53a589e778747989888a9a859cb4818,"market for sewage sludge, 70% water, WWT[U], WW from lorry production",-0.002430531894788146,kilogram,2,-6.0196452140808105,0.06901448965072632,,
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050')",wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050,Wastewater treatment proxy (joint) [SSP1VLLO_2050],"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'fc133cd99c74483caca7b9a4f1ea1fc8')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,fc133cd99c74483caca7b9a4f1ea1fc8,"market for sewage sludge, 97% water, WWT[U], WW from lorry production",-0.002700590994209051,kilogram,2,-5.914284706115723,0.008476438000798225,,
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050')",wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050,Wastewater treatment proxy (joint) [SSP1VLLO_2050],"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '794c8be15f3440b3966f50681ef82e83')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,794c8be15f3440b3966f50681ef82e83,market for waste bitumen,-3.105301584582776e-05,kilogram,2,-10.379814147949219,0.5575840473175049,,
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050')",wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050,Wastewater treatment proxy (joint) [SSP1VLLO_2050],"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '547ca13e7fb44b768efa38d59b9ee0af')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,547ca13e7fb44b768efa38d59b9ee0af,market for waste graphical paper,-0.00979276280850172,kilogram,2,-4.6261115074157715,0.4699999988079071,,
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050')",wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050,Wastewater treatment proxy (joint) [SSP1VLLO_2050],"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '3c0bbc822fde42bdb86ea819e6e80274')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,3c0bbc822fde42bdb86ea819e6e80274,market for waste mineral wool,-5.4092350183054805e-05,kilogram,2,-9.824817657470703,0.5575840473175049,,
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050')",wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050,Wastewater treatment proxy (joint) [SSP1VLLO_2050],"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'f829afc9b7f046b095e2f62d0ba97663')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,f829afc9b7f046b095e2f62d0ba97663,"market for waste plastic, mixture",-0.00979276280850172,kilogram,2,-4.6261115074157715,0.4699999988079071,,
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050')",wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050,Wastewater treatment proxy (joint) [SSP1VLLO_2050],"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '019cd8a399224148a9a6bb32ac19024b')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,019cd8a399224148a9a6bb32ac19024b,market for waste polyethylene/polypropylene product,-0.00019433177658356726,kilogram,2,-8.545943260192871,0.5575840473175049,,
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050')",wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050,Wastewater treatment proxy (joint) [SSP1VLLO_2050],"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '5855f2af4f0746e6bc76bc88a5167692')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,5855f2af4f0746e6bc76bc88a5167692,market for waste reinforced concrete,-0.1416974812746048,kilogram,2,-1.9540609121322632,0.5575840473175049,,
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050')",wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050,Wastewater treatment proxy (joint) [SSP1VLLO_2050],"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'fd5e3832810545969a40551db88a2ca9')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,fd5e3832810545969a40551db88a2ca9,market for waste reinforcement steel,-0.004901368170976639,kilogram,2,-5.318241119384766,0.5575840473175049,,
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050')",wastewater_treatment_unpolluted_CAe__SSP1VLLO_2050,Wastewater treatment proxy (joint) [SSP1VLLO_2050],"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'c7cbfc1fe1d04d6293f9562c908273f9')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,c7cbfc1fe1d04d6293f9562c908273f9,"market for waste rubber, unspecified",-5.809919093735516e-05,kilogram,2,-9.753358840942383,0.5575840473175049,,
"('mtcw_foreground_prospective__joint', 'al_scrap_postconsumer_CA_gate__SSP1VLLO_2050')",al_scrap_postconsumer_CA_gate__SSP1VLLO_2050,"Al scrap, post-consumer, at gate (CA proxy; routing removed) [SSP1VLLO_2050]","('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '41b5ea2db9fe44f78a0e1d907c62e319')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,41b5ea2db9fe44f78a0e1d907c62e319,"market for hazardous waste, for underground deposit",-0.005280000157654285,kilogram,2,-5.243829250335693,0.09591662883758545,,
"('mtcw_foreground_prospective__joint', 'al_scrap_postconsumer_CA_gate__SSP1VLLO_2050')",al_scrap_postconsumer_CA_gate__SSP1VLLO_2050,"Al scrap, post-consumer, at gate (CA proxy; routing removed) [SSP1VLLO_2050]","('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '58abb81ed15d46ee9c21bdea52550beb')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,58abb81ed15d46ee9c21bdea52550beb,"market for inert waste, for final disposal",-0.01283199992030859,kilogram,2,-4.355813026428223,0.09591662883758545,,
