from_key,from_code,from_name,to_key,to_db,to_code,to_name,amount,unit,uncertainty_type,loc,scale,minimum,maximum
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP5H_2050')",wastewater_treatment_unpolluted_CAe__SSP5H_2050,Wastewater treatment proxy (joint) [SSP5H_2050],"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'd54126c4ed6b4e81a41f8e97b034f19f')",prospective_conseq_IMAGE_SSP5H_2050_PERF,d54126c4ed6b4e81a41f8e97b034f19f,"market for aluminium scrap, post-consumer, prepared for melting",-6.31077418802306e-05,kilogram,2,-9.670666694641113,0.5575840473175049,,
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP5H_2050')",wastewater_treatment_unpolluted_CAe__SSP5H_2050,Wastewater treatment proxy (joint) [SSP5H_2050],"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'e99522a1e9414ecc84e3dd95ca040220')",prospective_conseq_IMAGE_SSP5H_2050_PERF,e99522a1e9414ecc84e3dd95ca040220,"market for copper scrap, sorted, pressed",-7.612997433170676e-05,kilogram,2,-9.483068466186523,0.5575840473175049,,
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP5H_2050')",wastewater_treatment_unpolluted_CAe__SSP5H_2050,Wastewater treatment proxy (joint) [SSP5H_2050],"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '4e4cb867e33c4a2c995cbcb5965f0611')",prospective_conseq_IMAGE_SSP5H_2050_PERF,4e4cb867e33c4a2c995cbcb5965f0611,"market for inert waste, for final disposal",-0.0048103309236466885,kilogram,2,-5.336989402770996,0.4699999988079071,,
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP5H_2050')",wastewater_treatment_unpolluted_CAe__SSP5H_2050,Wastewater treatment proxy (joint) [SSP5H_2050],"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '803317a65d5d4b67b4f182bbe325f2df')",prospective_conseq_IMAGE_SSP5H_2050_PERF,803317a65d5d4b67b4f182bbe325f2df,"market for iron scrap, sorted, pressed",-0.0005138773121871054,kilogram,2,-7.573525905609131,0.5575840473175049,,
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP5H_2050')",wastewater_treatment_unpolluted_CAe__SSP5H_2050,Wastewater treatment proxy (joint) [SSP5H_2050],"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'cd7f51fa958b4e9a8c39e3e58951f53c')",prospective_conseq_IMAGE_SSP5H_2050_PERF,cd7f51fa958b4e9a8c39e3e58951f53c,"market for sewage sludge, 70% water, WWT[U], WW from lorry production",-0.002430531894788146,kilogram,2,-6.0196452140808105,0.06901448965072632,,
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP5H_2050')",wastewater_treatment_unpolluted_CAe__SSP5H_2050,Wastewater treatment proxy (joint) [SSP5H_2050],"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'a3fb047330af4ccea6a7cbd9e775abca')",prospective_conseq_IMAGE_SSP5H_2050_PERF,a3fb047330af4ccea6a7cbd9e775abca,"market for sewage sludge, 97% water, WWT[U], WW from lorry production",-0.002700590994209051,kilogram,2,-5.914284706115723,0.008476438000798225,,
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP5H_2050')",wastewater_treatment_unpolluted_CAe__SSP5H_2050,Wastewater treatment proxy (joint) [SSP5H_2050],"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '648d0b3ae2e443f6a6c96ed1a2758262')",prospective_conseq_IMAGE_SSP5H_2050_PERF,648d0b3ae2e443f6a6c96ed1a2758262,market for waste bitumen,-3.105301584582776e-05,kilogram,2,-10.379814147949219,0.5575840473175049,,
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP5H_2050')",wastewater_treatment_unpolluted_CAe__SSP5H_2050,Wastewater treatment proxy (joint) [SSP5H_2050],"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '4fc7974a7f504189815f6cc56987eb4b')",prospective_conseq_IMAGE_SSP5H_2050_PERF,4fc7974a7f504189815f6cc56987eb4b,market for waste graphical paper,-0.00979276280850172,kilogram,2,-4.6261115074157715,0.4699999988079071,,
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP5H_2050')",wastewater_treatment_unpolluted_CAe__SSP5H_2050,Wastewater treatment proxy (joint) [SSP5H_2050],"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '8c6f227743184991bc3825fc53d9f43c')",prospective_conseq_IMAGE_SSP5H_2050_PERF,8c6f227743184991bc3825fc53d9f43c,market for waste mineral wool,-5.4092350183054805e-05,kilogram,2,-9.824817657470703,0.5575840473175049,,
"('mtcw_foreground_prospective__joint', 'wastewater_treatment_unpolluted_CAe__SSP5H_2050')",wastewater_treatment_unpolluted_CAe__SSP5H_2050,Wastewater treatment proxy (joint) [SSP5H_2050],"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '1bbecad7db404c63bb225e49a63c846c')",prospective_conseq_IMAGE_SSP5H_2050_PERF,1bbecad7db404c63bb225e49a63c846c,"market for waste plastic, mixture",-0.00979276280850172,kilogram,2,-4.6261115074157715,0.4699999988079071,,
