tag,unc_layer,iteration,scenario_id,case,method,score,fu_scrap_kg,scrap_per_billet,fu_billet_kg,f_transition,pass_share
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,1,SSP1VLLO_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.0,3.67,1.050420168067227,3.4938399999999996,0.13226771199341406,0.9053036969432706
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,1,SSP1VLLO_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.0,3.67,1.050420168067227,3.4938399999999996,0.13226771199341406,0.9053036969432706
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,1,SSP1VLLO_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.0,3.67,1.050420168067227,3.4938399999999996,0.13226771199341406,0.9053036969432706
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,2,SSP1VLLO_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.0,3.67,1.050420168067227,3.4938399999999996,0.4193478199109422,0.9749549987430578
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,2,SSP1VLLO_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.0,3.67,1.050420168067227,3.4938399999999996,0.4193478199109422,0.9749549987430578
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,2,SSP1VLLO_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.0,3.67,1.050420168067227,3.4938399999999996,0.4193478199109422,0.9749549987430578
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,3,SSP1VLLO_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.0,3.67,1.050420168067227,3.4938399999999996,0.3265740570585919,0.991420046423263
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,3,SSP1VLLO_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.0,3.67,1.050420168067227,3.4938399999999996,0.3265740570585919,0.991420046423263
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,3,SSP1VLLO_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.0,3.67,1.050420168067227,3.4938399999999996,0.3265740570585919,0.991420046423263
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,4,SSP1VLLO_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.0,3.67,1.050420168067227,3.4938399999999996,0.08485568962930494,0.9570115147125096
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,4,SSP1VLLO_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.0,3.67,1.050420168067227,3.4938399999999996,0.08485568962930494,0.9570115147125096
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,4,SSP1VLLO_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.0,3.67,1.050420168067227,3.4938399999999996,0.08485568962930494,0.9570115147125096
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,5,SSP1VLLO_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.0,3.67,1.050420168067227,3.4938399999999996,0.0741460059199212,0.9756050824791453
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,5,SSP1VLLO_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.0,3.67,1.050420168067227,3.4938399999999996,0.0741460059199212,0.9756050824791453
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,5,SSP1VLLO_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.0,3.67,1.050420168067227,3.4938399999999996,0.0741460059199212,0.9756050824791453
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,6,SSP1VLLO_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.0,3.67,1.050420168067227,3.4938399999999996,0.591807623558734,0.9918800318493219
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,6,SSP1VLLO_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.0,3.67,1.050420168067227,3.4938399999999996,0.591807623558734,0.9918800318493219
