from_key,from_code,from_name,to_key,to_db,to_code,to_name,amount,unit,comment
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050,MSFSC Gate A diverted prepared scrap (CA; SSP5H_2050),"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '082f75f54d5e4ed6b17af6a15bd6d937')",prospective_conseq_IMAGE_SSP5H_2050_PERF,082f75f54d5e4ed6b17af6a15bd6d937,"market for hazardous waste, for underground deposit",-0.006600000197067857,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050,MSFSC Gate A diverted prepared scrap (CA; SSP5H_2050),"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '63cb4a70f9ca46998da3115192040ca9')",prospective_conseq_IMAGE_SSP5H_2050_PERF,63cb4a70f9ca46998da3115192040ca9,"market for inert waste, for final disposal",-0.016039999900385737,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050,MSFSC Gate A diverted prepared scrap (CA; SSP5H_2050),"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '62255e63c82b45fb993ce8734f6e0f7c')",prospective_conseq_IMAGE_SSP5H_2050_PERF,62255e63c82b45fb993ce8734f6e0f7c,"market for iron scrap, unsorted",-0.034000000450760126,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050,MSFSC Gate A diverted prepared scrap (CA; SSP5H_2050),"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '15551ca877c44c638190d2ae7ef4a44e')",prospective_conseq_IMAGE_SSP5H_2050_PERF,15551ca877c44c638190d2ae7ef4a44e,market for municipal solid waste,-3.361492062481375e-07,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050,MSFSC Gate A diverted prepared scrap (CA; SSP5H_2050),"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '7df6fd91454c45f189a15f483c148002')",prospective_conseq_IMAGE_SSP5H_2050_PERF,7df6fd91454c45f189a15f483c148002,market for municipal solid waste,-7.104495693965873e-06,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050,MSFSC Gate A diverted prepared scrap (CA; SSP5H_2050),"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '38b44a29e034411d9da79b6bb1995184')",prospective_conseq_IMAGE_SSP5H_2050_PERF,38b44a29e034411d9da79b6bb1995184,market for municipal solid waste,-0.0015971550601534545,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050,MSFSC Gate A diverted prepared scrap (CA; SSP5H_2050),"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'f193c685d686437fb5bb9713aa50c9c6')",prospective_conseq_IMAGE_SSP5H_2050_PERF,f193c685d686437fb5bb9713aa50c9c6,market for municipal solid waste,-7.55027151910781e-08,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050,MSFSC Gate A diverted prepared scrap (CA; SSP5H_2050),"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '2cbb096e36b34178aa93ebf26487fe81')",prospective_conseq_IMAGE_SSP5H_2050_PERF,2cbb096e36b34178aa93ebf26487fe81,market for municipal solid waste,-2.3522405356857234e-07,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050,MSFSC Gate A diverted prepared scrap (CA; SSP5H_2050),"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '4276bf8e2310419f86b3279b8b685a44')",prospective_conseq_IMAGE_SSP5H_2050_PERF,4276bf8e2310419f86b3279b8b685a44,market for municipal solid waste,-1.706568220072313e-07,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050,MSFSC Gate A diverted prepared scrap (CA; SSP5H_2050),"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'e05e9d1e30cd4c05ad10a57f7a79f8f2')",prospective_conseq_IMAGE_SSP5H_2050_PERF,e05e9d1e30cd4c05ad10a57f7a79f8f2,market for municipal solid waste,-2.092108815077154e-06,,
