from_key,from_code,from_name,to_key,to_db,to_code,to_name,amount,unit,uncertainty_type,loc,scale,minimum,maximum
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050,MSFSC Gate A diverted prepared scrap (CA; SSP1VLLO_2050),"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'a2e1086fdd11404494b41bd1500d916c')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,a2e1086fdd11404494b41bd1500d916c,market for filter dust from Al electrolysis,-0.0035200000274926424,kilogram,,,,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050,MSFSC Gate A diverted prepared scrap (CA; SSP1VLLO_2050),"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '41b5ea2db9fe44f78a0e1d907c62e319')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,41b5ea2db9fe44f78a0e1d907c62e319,"market for hazardous waste, for underground deposit",-0.006600000197067857,kilogram,,,,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050,MSFSC Gate A diverted prepared scrap (CA; SSP1VLLO_2050),"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '58abb81ed15d46ee9c21bdea52550beb')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,58abb81ed15d46ee9c21bdea52550beb,"market for inert waste, for final disposal",-0.016039999900385737,kilogram,,,,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050,MSFSC Gate A diverted prepared scrap (CA; SSP1VLLO_2050),"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'd196dbafc43c4dbea8754ec7c4f878c4')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,d196dbafc43c4dbea8754ec7c4f878c4,"market for iron scrap, unsorted",-0.034000000450760126,kilogram,,,,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050,MSFSC Gate A diverted prepared scrap (CA; SSP1VLLO_2050),"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '7456115cc15f4e2482450a0b3b0779a3')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,7456115cc15f4e2482450a0b3b0779a3,market group for municipal solid waste,-0.001610000035725534,kilogram,,,,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050,MSFSC Gate A diverted prepared scrap (CA; SSP1VLLO_2050),"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '07dd8e3d0e5f4fb2a5ed0e773dc087b8')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,07dd8e3d0e5f4fb2a5ed0e773dc087b8,market for scrap copper,-0.005153747042641044,kilogram,,,,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050,MSFSC Gate A diverted prepared scrap (CA; SSP1VLLO_2050),"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '726a708bf4754c63b3cba457ea9f7321')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,726a708bf4754c63b3cba457ea9f7321,market for scrap copper,-0.10984625667333603,kilogram,,,,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050,MSFSC Gate A diverted prepared scrap (CA; SSP1VLLO_2050),"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'b0f918582639405182281a436326a862')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,b0f918582639405182281a436326a862,market for waste mineral oil,-3.0197459182090824e-05,kilogram,,,,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050,MSFSC Gate A diverted prepared scrap (CA; SSP1VLLO_2050),"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'e8639b29fa424c5aad20734ff2b716e9')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,e8639b29fa424c5aad20734ff2b716e9,market for waste mineral oil,-0.0012198025069665164,kilogram,,,,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050,MSFSC Gate A diverted prepared scrap (CA; SSP1VLLO_2050),"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '1ef97b6232c24301b21c659d527d7645')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,1ef97b6232c24301b21c659d527d7645,"market for waste rubber, unspecified",-0.04510643891990185,kilogram,,,,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP1VLLO_2050,MSFSC Gate A diverted prepared scrap (CA; SSP1VLLO_2050),"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'c7cbfc1fe1d04d6293f9562c908273f9')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,c7cbfc1fe1d04d6293f9562c908273f9,"market for waste rubber, unspecified",-0.0018935601110570133,kilogram,,,,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_degrease_CA_SSP1VLLO_2050')",MSFSC_degrease_CA_SSP1VLLO_2050,MSFSC Degrease (CA; SSP1VLLO_2050),"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '3b3dbb22736d41139f151245521d0889')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,3b3dbb22736d41139f151245521d0889,"market for wastewater, average",-0.00014227684930802207,cubic meter,,,,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_degrease_CA_SSP1VLLO_2050')",MSFSC_degrease_CA_SSP1VLLO_2050,MSFSC Degrease (CA; SSP1VLLO_2050),"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'ae671d42505d4973a3b373f541f808de')",prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,ae671d42505d4973a3b373f541f808de,"market for wastewater, average",-0.005661299997584895,cubic meter,,,,,
