from_key,from_code,from_name,to_key,to_db,to_code,to_name,amount,unit,uncertainty_type,loc,scale,minimum,maximum
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP2M_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP2M_2050,MSFSC Gate A diverted prepared scrap (CA; SSP2M_2050),"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '3ab5680d754c45ab81400b33d45e049a')",prospective_conseq_IMAGE_SSP2M_2050_PERF,3ab5680d754c45ab81400b33d45e049a,market for filter dust from Al electrolysis,-0.0035200000274926424,kilogram,,,,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP2M_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP2M_2050,MSFSC Gate A diverted prepared scrap (CA; SSP2M_2050),"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '7471eca84a9e4b29aa52321068f7375e')",prospective_conseq_IMAGE_SSP2M_2050_PERF,7471eca84a9e4b29aa52321068f7375e,"market for hazardous waste, for underground deposit",-0.006600000197067857,kilogram,,,,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP2M_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP2M_2050,MSFSC Gate A diverted prepared scrap (CA; SSP2M_2050),"('prospective_conseq_IMAGE_SSP2M_2050_PERF', '4ef21eae86be406dbbbe9b48f5842cad')",prospective_conseq_IMAGE_SSP2M_2050_PERF,4ef21eae86be406dbbbe9b48f5842cad,"market for inert waste, for final disposal",-0.016039999900385737,kilogram,,,,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP2M_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP2M_2050,MSFSC Gate A diverted prepared scrap (CA; SSP2M_2050),"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'a71857e2d7b445fe8dc6314f856bb248')",prospective_conseq_IMAGE_SSP2M_2050_PERF,a71857e2d7b445fe8dc6314f856bb248,"market for iron scrap, unsorted",-0.034000000450760126,kilogram,,,,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP2M_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP2M_2050,MSFSC Gate A diverted prepared scrap (CA; SSP2M_2050),"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'e9abf5be07a744f4bbd9c642ecd279a2')",prospective_conseq_IMAGE_SSP2M_2050_PERF,e9abf5be07a744f4bbd9c642ecd279a2,market group for municipal solid waste,-0.001610000035725534,kilogram,,,,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP2M_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP2M_2050,MSFSC Gate A diverted prepared scrap (CA; SSP2M_2050),"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'bf81cb834bce47cfb9b5138dbdcffa4a')",prospective_conseq_IMAGE_SSP2M_2050_PERF,bf81cb834bce47cfb9b5138dbdcffa4a,market for scrap copper,-0.005153747042641044,kilogram,,,,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP2M_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP2M_2050,MSFSC Gate A diverted prepared scrap (CA; SSP2M_2050),"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'b01aca5a335348d1b1c9567c6234f6b3')",prospective_conseq_IMAGE_SSP2M_2050_PERF,b01aca5a335348d1b1c9567c6234f6b3,market for scrap copper,-0.10984625667333603,kilogram,,,,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP2M_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP2M_2050,MSFSC Gate A diverted prepared scrap (CA; SSP2M_2050),"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'e148d78291304287836c37e7f4576569')",prospective_conseq_IMAGE_SSP2M_2050_PERF,e148d78291304287836c37e7f4576569,market for waste mineral oil,-3.0197459182090824e-05,kilogram,,,,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP2M_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP2M_2050,MSFSC Gate A diverted prepared scrap (CA; SSP2M_2050),"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'e87fc01b9fa0498da01573f7cbe4d8f9')",prospective_conseq_IMAGE_SSP2M_2050_PERF,e87fc01b9fa0498da01573f7cbe4d8f9,market for waste mineral oil,-0.0012198025069665164,kilogram,,,,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP2M_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP2M_2050,MSFSC Gate A diverted prepared scrap (CA; SSP2M_2050),"('prospective_conseq_IMAGE_SSP2M_2050_PERF', 'efbe8aa6a1ef4575a1aacad2c064cdbe')",prospective_conseq_IMAGE_SSP2M_2050_PERF,efbe8aa6a1ef4575a1aacad2c064cdbe,"market for waste rubber, unspecified",-0.04510643891990185,kilogram,,,,,
