from_key,from_code,from_name,to_key,to_db,to_code,to_name,amount,unit,uncertainty_type,loc,scale,minimum,maximum
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050,MSFSC Gate A diverted prepared scrap (CA; SSP5H_2050),"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'b8a09474e1c141048ccaf023d45c78b3')",prospective_conseq_IMAGE_SSP5H_2050_PERF,b8a09474e1c141048ccaf023d45c78b3,market for filter dust from Al electrolysis,-0.0035200000274926424,kilogram,,,,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050,MSFSC Gate A diverted prepared scrap (CA; SSP5H_2050),"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '72b0684248f44c958ed8a3429811d4e2')",prospective_conseq_IMAGE_SSP5H_2050_PERF,72b0684248f44c958ed8a3429811d4e2,"market for hazardous waste, for underground deposit",-0.006600000197067857,kilogram,,,,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050,MSFSC Gate A diverted prepared scrap (CA; SSP5H_2050),"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '4e4cb867e33c4a2c995cbcb5965f0611')",prospective_conseq_IMAGE_SSP5H_2050_PERF,4e4cb867e33c4a2c995cbcb5965f0611,"market for inert waste, for final disposal",-0.016039999900385737,kilogram,,,,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050,MSFSC Gate A diverted prepared scrap (CA; SSP5H_2050),"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '62255e63c82b45fb993ce8734f6e0f7c')",prospective_conseq_IMAGE_SSP5H_2050_PERF,62255e63c82b45fb993ce8734f6e0f7c,"market for iron scrap, unsorted",-0.034000000450760126,kilogram,,,,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050,MSFSC Gate A diverted prepared scrap (CA; SSP5H_2050),"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '639cff5a4aa84f168bda6103a15f589d')",prospective_conseq_IMAGE_SSP5H_2050_PERF,639cff5a4aa84f168bda6103a15f589d,market group for municipal solid waste,-0.001610000035725534,kilogram,,,,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050,MSFSC Gate A diverted prepared scrap (CA; SSP5H_2050),"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'ad86ca5259fc467ea1f79fe39bb8cec7')",prospective_conseq_IMAGE_SSP5H_2050_PERF,ad86ca5259fc467ea1f79fe39bb8cec7,market for scrap copper,-0.005153747042641044,kilogram,,,,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050,MSFSC Gate A diverted prepared scrap (CA; SSP5H_2050),"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'b4e554292c0447498ff7271f907145d2')",prospective_conseq_IMAGE_SSP5H_2050_PERF,b4e554292c0447498ff7271f907145d2,market for scrap copper,-0.10984625667333603,kilogram,,,,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050,MSFSC Gate A diverted prepared scrap (CA; SSP5H_2050),"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'da98e8629cff4ddf9143ce2a2b07498d')",prospective_conseq_IMAGE_SSP5H_2050_PERF,da98e8629cff4ddf9143ce2a2b07498d,market for waste mineral oil,-3.0197459182090824e-05,kilogram,,,,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050,MSFSC Gate A diverted prepared scrap (CA; SSP5H_2050),"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'f0ba6c8459d44e5a945fb66c266524c2')",prospective_conseq_IMAGE_SSP5H_2050_PERF,f0ba6c8459d44e5a945fb66c266524c2,market for waste mineral oil,-0.0012198025069665164,kilogram,,,,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050,MSFSC Gate A diverted prepared scrap (CA; SSP5H_2050),"('prospective_conseq_IMAGE_SSP5H_2050_PERF', '447d7021306e4cb28df693e7550748f9')",prospective_conseq_IMAGE_SSP5H_2050_PERF,447d7021306e4cb28df693e7550748f9,"market for waste rubber, unspecified",-0.04510643891990185,kilogram,,,,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050')",MSFSC_gateA_DIVERT_PREP_CA_SSP5H_2050,MSFSC Gate A diverted prepared scrap (CA; SSP5H_2050),"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'e5ba47d2eabd47d0948980b6c6d01c91')",prospective_conseq_IMAGE_SSP5H_2050_PERF,e5ba47d2eabd47d0948980b6c6d01c91,"market for waste rubber, unspecified",-0.0018935601110570133,kilogram,,,,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_degrease_CA_SSP5H_2050')",MSFSC_degrease_CA_SSP5H_2050,MSFSC Degrease (CA; SSP5H_2050),"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'c5122a2fd52342aeaf9c3906dcd8528f')",prospective_conseq_IMAGE_SSP5H_2050_PERF,c5122a2fd52342aeaf9c3906dcd8528f,"market for wastewater, average",-0.00014227684930802207,cubic meter,,,,,
"('mtcw_foreground_prospective__fgonly', 'MSFSC_degrease_CA_SSP5H_2050')",MSFSC_degrease_CA_SSP5H_2050,MSFSC Degrease (CA; SSP5H_2050),"('prospective_conseq_IMAGE_SSP5H_2050_PERF', 'e538e42fc1354a2bba10e55f94438d07')",prospective_conseq_IMAGE_SSP5H_2050_PERF,e538e42fc1354a2bba10e55f94438d07,"market for wastewater, average",-0.005661299997584895,cubic meter,,,,,
