tag,unc_layer,iteration,scenario_id,case,method,score,fu_scrap_kg,scrap_per_billet,fu_billet_kg,f_transition,pass_share
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,1,SSP1VLLO_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.6771749425859094,3.67,1.050420168067227,3.4938399999999996,0.4118552269586035,0.9976585587834861
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,1,SSP1VLLO_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-20.643262378152862,3.67,1.050420168067227,3.4938399999999996,0.4118552269586035,0.9976585587834861
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,1,SSP1VLLO_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-19.966087435566983,3.67,1.050420168067227,3.4938399999999996,0.4118552269586035,0.9976585587834861
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,1,SSP1VLLO_2050,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-19.966087269118745,3.67,1.050420168067227,3.4938399999999996,0.4118552269586035,0.9976585587834861
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,2,SSP1VLLO_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.618474609354569,3.67,1.050420168067227,3.4938399999999996,0.282246563228348,0.9849328804828954
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,2,SSP1VLLO_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-20.37994632298931,3.67,1.050420168067227,3.4938399999999996,0.282246563228348,0.9849328804828954
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,2,SSP1VLLO_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-19.761471713634705,3.67,1.050420168067227,3.4938399999999996,0.282246563228348,0.9849328804828954
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,2,SSP1VLLO_2050,net_wrapper,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-19.761472106615876,3.67,1.050420168067227,3.4938399999999996,0.282246563228348,0.9849328804828954
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,3,SSP1VLLO_2050,c3c4,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",0.5242907413236091,3.67,1.050420168067227,3.4938399999999996,0.07429126341206278,0.9933849400395822
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,3,SSP1VLLO_2050,staged_total,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-20.554833895023172,3.67,1.050420168067227,3.4938399999999996,0.07429126341206278,0.9933849400395822
prospect_msfsc_fgonly_fgonly_stageDinert,fgonly,3,SSP1VLLO_2050,joint,"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-20.030543153699583,3.67,1.050420168067227,3.4938399999999996,0.07429126341206278,0.9933849400395822
