rank,contribution,database,code,location,name,activity_key,index
1,1.3966026989176148,ecoinvent_3.10.1.1_consequential_unitprocess,27adfe07cc735fbff529974b279bac9b,PL,"heat and power co-generation, hard coal",252224274219212800,13882
2,-1.1947063651585916,ecoinvent_3.10.1.1_consequential_unitprocess,7feee803d7617b42630c276a615c7956,RoW,"heat production, at hard coal industrial furnace 1-10MW",252224182003245056,5184
3,0.9826385493212242,ecoinvent_3.10.1.1_consequential_unitprocess,bbe685e0aff42aaf5bcb0387c5ea42fe,PL,"heat and power co-generation, lignite",252224253742620672,11984
4,-0.6569740786330381,mtcw_foreground_contemporary,h2_production_smr_proxy_CA_contemp_ABelec,CA,"Hydrogen production, SMR (proxy; contem marginal; AB electricity normalized; no elec export credit)",274632556518907904,21000
5,-0.4489937536688032,ecoinvent_3.10.1.1_consequential_unitprocess,41f1d9f2223bad3e6360290180d4e606,PL,"electricity production, natural gas, combined cycle power plant",252224290518278144,14958
6,0.3188171858529186,ecoinvent_3.10.1.1_consequential_unitprocess,e5bfdbe136fb2e23a18525a181fb58c4,DE,"heat and power co-generation, hard coal",252224128123215872,1956
7,0.3104578564033218,ecoinvent_3.10.1.1_consequential_unitprocess,5c91d4ad32cc7aabf4536b362f73417d,CZ,"heat and power co-generation, lignite",252224319148597248,17532
8,0.19428822150113836,ecoinvent_3.10.1.1_consequential_unitprocess,ef701b8e4ff777712b18b6c694812432,GR,"heat and power co-generation, lignite",252224124474171392,1620
9,-0.16625750201002903,ecoinvent_3.10.1.1_consequential_unitprocess,f8027e13c3672f267e1d96eaf7b2f395,GLO,natural gas venting from petroleum/natural gas production,252224120929984513,1301
10,0.1628919483349927,ecoinvent_3.10.1.1_consequential_unitprocess,97f3831585ab7de2c898482435da4724,DK,"heat and power co-generation, hard coal",252224160331276288,3216
11,0.15130905828788352,ecoinvent_3.10.1.1_consequential_unitprocess,a1dcf8a4c5ce154a41494708fa5bc5f9,DE,"heat and power co-generation, lignite",252224198763683840,6735
12,-0.10933196451514018,ecoinvent_3.10.1.1_consequential_unitprocess,c9f6ade6f2d9519abce2145d41df16a6,CN,hard coal mine operation and hard coal preparation,252224229600206848,9800
13,0.10696400923784051,ecoinvent_3.10.1.1_consequential_unitprocess,76a2083b4b24e30ebcdb17f5702b0279,"Europe, without Russia and Türkiye",hard coal mine operation and hard coal preparation,252224336571736064,19115
14,0.09729347315071503,ecoinvent_3.10.1.1_consequential_unitprocess,3e7c04521132646e9900891098a66c97,NL,"heat and power co-generation, hard coal",252224312320270336,16887
15,-0.09116025781142707,ecoinvent_3.10.1.1_consequential_unitprocess,96504536239fda2a2cf514d648673c2e,RoW,"quicklime production, in pieces, loose",252224139787575296,2657
16,0.0901644385089692,ecoinvent_3.10.1.1_consequential_unitprocess,73c7821f17e9ead28e4f837a23b44b64,CA-AB,"electricity production, natural gas, conventional power plant",252224271954288640,13672
17,0.08432811763718594,ecoinvent_3.10.1.1_consequential_unitprocess,9f03ffc1b889964e85e352d8af6b9b5f,SI,"heat and power co-generation, lignite",252224285371867136,14456
18,-0.08429273003467012,ecoinvent_3.10.1.1_consequential_unitprocess,bd4b1109355124047a21af49482664f0,RoW,"heat and power co-generation, lignite",252224264773640192,13041
19,0.08343388783756002,ecoinvent_3.10.1.1_consequential_unitprocess,6e8af07a72ab43ef06a01ef701196a45,CZ,"heat and power co-generation, hard coal",252224140508995584,2708
20,0.08244832226694006,ecoinvent_3.10.1.1_consequential_unitprocess,25a1727fbd7dc7ab0dad96f520b025c6,FI,"heat and power co-generation, hard coal",252224241063239680,10873
